album_uri,album_name,artist,release_date,album_type,remove,notes
5lSLGYViKHz22S8gEXz9Vc,112,112,8/27/96,album,2,
1sy0AyxEwLDNROOvFDTbK4,Both Of Us (feat. Jagged Edge),112,10/20/17,album,2,
5EJY7MQdOFgFHfVflvJwXp,Dangerous Games,112,8/14/17,album,2,
5M77tKYKBZuyhzJLTV3Uio,Hot & Wet,112,1/1/03,album,2,
6BSBEsL4xU4nIuHjd1Wz6f,Na Na Na Na,112,1/1/03,album,2,
6QlbqTqKJt1UnuH3PLz9mb,Part III,112,2001,album,2,
4lHxQVzQyXkXeARieL08Uw,Pleasure & Pain,112,1/1/05,album,2,
6rN35Bxpfrcu0eVn3WYilF,Q Mike Slim Daron,112,10/27/17,album,2,
2a9zJQA2ttMax51gVplZ2w,Room 112,112,1998,album,2,
0pMVxPe7XpEmrl7NXv1lbJ,Strawberry,112,7/12/17,album,2,
7GmBCP4XKzDwR5Kfc7ZaR4,Tonight,112,11/21/18,album,2,
6Jwq4FZFwNj32A6xGQe8Cs,U Already Know,112,1/1/05,album,2,
3m3pbNWSzvz0XvmiQImyBt,Underground Celebrity,2-Mar,10/21/10,album,2,
2AMcgjiOTZZZxoPBKeF8FC,"Underground Celebrity, Vol. 2",2-Mar,6/28/17,album,2,
3kQCLx84QtyjvetdWVblW2,De Nada,"(dc), Masego",5/14/15,album,1,
5kT175Wi9KfoHRFQ9yoimO,Mursday,"Mayday! & Murs, Mayday, Murs",6/10/14,album,1,duplicate
3nVqeuOMLIkIgIltdgVD6I,Mursday (Deluxe Edition),"MAYDAY!, Murs",6/10/14,album,,
3PlSRo4OByokbwlikf6UKk,New Bitch remix,"$onoma, A$AP ANT, Malcs",6/12/19,album,2,
1ERHFVWCNrmQ4YpMql11E6,Rollin Off,"$onoma, Killstation",6/16/19,album,2,
6PXVE7UeyAYF6fB5xpyzNq,Bring The Block Outside,03 Greedo,9/18/19,album,,
6kfRi7E2DbxcVdMO5aYaqB,Can't Fuccin Believe It,03 Greedo,6/21/19,album,,
1hZSkfMsOE2J7dV2NGK7Of,Fortnite,03 Greedo,4/27/18,album,,
4elwYqB897R5hwIqJXDXxy,God Level,03 Greedo,6/27/18,album,,
1NzRBohVf8UuXnY3MH8wl6,High Off Me (feat. Yung Bans),03 Greedo,5/18/18,album,,
1XVEEMdWeAvxugEwzb15Cc,Look Bitch (feat. Mike Wayne),03 Greedo,6/19/19,album,,
0mN9qYcfmWYMfsy0t30xUc,Purple Summer,03 Greedo,7/27/16,album,,
3bw0OfTkjlkoJLtNIOWf6u,Purple Summer 2: Son Don't Shine,03 Greedo,10/31/16,album,,
3l12lny1KiDIRYt7MrVu1R,She's Foreign,03 Greedo,9/18/19,album,,
4idSpCksSGx8lXtY4nHS8d,Still Summer In The Projects,03 Greedo,4/19/19,album,,
4TnfqHgc2h5iAK87jU2ZKJ,The Wolf of Grape Street,03 Greedo,3/9/18,album,,
4O0qVKPXobV27sbc2nHhiR,Maria,"03 Greedo, Kenny Beats",11/13/19,album,,
708kDa6raFC1CFOHv2t4lf,Netflix & Deal,"03 Greedo, Kenny Beats",11/22/19,album,,
29jkz4rYD0R0b7K98QUZmC,Cellout,"03 Greedo, Travis Barker",7/3/19,album,,
5Ees1kZ9IGMmrPTfer6Mt4,Meet The Drummers,"03 Greedo, Travis Barker",7/5/19,album,,
09xpVUngS49NvlyFcIaVBk,Accusations,070 Shake,7/20/18,album,,
6bfMzBBgOt4CoB88WPn0Yc,Be Myself,070 Shake,7/24/17,album,,
5HCBV9Epivfv54NNH7VQqA,Glitter,070 Shake,3/23/18,album,,
7atL3NBAVjqASdyz6Pcw5V,Guilty Conscience,070 Shake,1/10/20,album,,
6Q2rUMVAKj1DaDh3xB0IEU,Modus Vivendi,070 Shake,1/17/20,album,,
3TpwJyKkZkFaM13p5rTuwg,Morrow,070 Shake,4/12/19,album,,
5eDQGcfnBYtRPAiTPv6b31,Nice To Have,070 Shake,4/12/19,album,,
650xbdr4W9mJfjh6fXNyot,Stranger,070 Shake,4/22/17,album,,
1oBtfv3rcOO6NoSotlNP3p,Under The Moon,070 Shake,12/13/19,album,,
1UX5QXG2yPar5Tce7BUyyM,Honey - Single,"070 Shake, Ralphy River, Hack & Tree",8/16/16,album,,
7IPFhlm939LDCeWAIE2T2n,745 sticky (Injury Reserve Remix),"100 gecs, Injury Reserve",11/6/19,album,,
0vMisckPcfHdQpUALWLKq1,California Dreamin,"116, Lecrae",7/19/19,album,,
297HtHWJnhnGi4lQk04wze,I Dont See A Thing (With D Savage),"16yrold, D Savage",12/8/17,album,,
3Lh212zAMQ3r24BjzTkRR7,Young Scooter,"16yrold, D Savage, Yung Bans",2/16/18,album,,
2GK9gUz4nsfwgw7YjtDtai,Uptown,"183rd, Smoke Dza",1/18/19,album,,
6WqkUen7Q863S7xVtLKaKp,No Fucks (feat. Sueco The Child and AzChike),"1takejay, Sueco the Child, AzChike",11/15/19,album,2,
5RSzAVPv62oC1gw0Dj4TSH,B.O.A.T.S. II #METIME,2 Chainz,1/1/13,album,1,duplicate
2eDX0d5LDpnppAuhqFlGzr,B.O.A.T.S. II #METIME (Deluxe),2 Chainz,1/1/13,album,,
6ETuqmZ5VU13n8RFn7nC2V,Based On A T.R.U. Story (Chopped Not Slopped),2 Chainz,8/14/12,album,1,duplicate
56TQNcSoy3eQpyWtNwQnrD,COLLEGROVE,2 Chainz,3/3/16,album,,
4XRo183q0BeXbtJx2d9VWI,Daniel Son; Necklace Don,2 Chainz,8/5/16,album,,
5vvvo79z68vWj9yimoygfS,Pretty Girls Like Trap Music,2 Chainz,6/16/17,album,,
1BR69wIifGZUSimcuTjWVg,Rap Or Go To The League,2 Chainz,3/1/19,album,,
0HiyOnSs0O9vptexgk9Bh4,TrapAvelli Tre,2 Chainz,8/14/15,album,,
4I3EcXD4e3KcEoDJfFEZ5b,Savage Mode,"21 Savage, Metro Boomin",7/15/16,album,,
0MV1yCXcNNQBfwApqAVkH0,Without Warning,"21 Savage, Offset, Metro Boomin",10/30/17,album,,
3NzBg4NCUMDfbkD1TbAstz,1994,38 Spesh,10/25/19,album,,
4AFcrFMi1U4aBhMyTUh91U,38 Strategies Of Raw,38 Spesh,2/1/19,album,,
1Tg009I2DdL6VZZYhFhInF,A Bullet For Every Heathen,38 Spesh,8/23/19,album,,
5gX31aXiyY1wGO3ERA8HLk,Incustody,38 Spesh,6/7/08,album,,
3ipY7YKXQtVuvkQGup1JIN,Out On Bail,38 Spesh,7/15/07,album,,
50vLwcQk2ewfeOy2k8yrSS,The 38 Laws of Powder,38 Spesh,9/13/16,album,,
5ZrNomYhUD3tHgsHdlWmIi,The Art Of Production,38 Spesh,7/22/14,album,,
5wgu9mfU6X4B6Ak61XODNT,The Trust Tape,38 Spesh,5/26/15,album,,
0O1LjnS9QcYYr9CZgGANOs,The Trust Tape 2,38 Spesh,6/23/15,album,,
6zvz3LTXYohEFDjYmKu9WY,The Trust Tape 2 (Instrumentals),38 Spesh,6/30/15,album,1,duplicate
7gii3BdFnkiMCkYKrmrjPm,The Trust Tape 3,38 Spesh,4/19/19,album,,
1DavXQd1l9sjgtdYVONGb2,TimeServed,38 Spesh,7/23/13,album,,
