album_uri,album_name,artist,release_date
6guJZpZ52v4MrJKIH7tASl,i am > i was (Deluxe),21 Savage,2018-12-24
007DWn799UWvfY1wwZeENR,i am > i was,21 Savage,2018-12-21
3IO8IPjwXuzPJnoaqkwYrj,NOT ALL HEROES WEAR CAPES (Deluxe),21 Savage,2018-11-06
0MV1yCXcNNQBfwApqAVkH0,Without Warning,21 Savage,2017-10-30
4QUNWTw2FsIz722xjUjFJw,Issa Album,21 Savage,2017-09-23
4I3EcXD4e3KcEoDJfFEZ5b,Savage Mode,21 Savage,2016-07-15
1HSyuTHvLXMWyPJQGnQTLw,Slaughter King,21 Savage,2016-05-16
3l2umvdEq50qZ5fmw4iHcI,The Slaughter Tape,21 Savage,2016-05-15
2qmmPaaWXRM1kZujpUKKsO,Soldier 2 Soldier (Collector's Edition),2Pac,2010-11-23
5y1YRK4BJCQWKLHr9gcUMK,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),2Pac,2007-07-03
5eVcXpQNaB4ILrocqaUdmT,Pac's Life,2Pac,2006-01-01
2d3RwSNxvWKiKLfJtsJj8v,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,2Pac,2005-09-20
1qzfkoM52XWcEzmm8akE26,Live at the House Of Blues,2Pac,2005-09-20
7vwU5cQW3RZ4XrJaglir2x,All Eyez On Me,2Pac,2005
3bCGjEpp17jWKqyKzATiny,Live,2Pac,2004-08-10
33lk2GnP8cJzl7cd1OJrXn,Loyal To The Game,2Pac,2004-01-01
3MJVucN9nO8WHaLo3KHuWO,Resurrection,2Pac,2003-11-14
2QVE1PUAtL4eO7CVAgwdnu,Resurrection (Music From And Inspired By The Motion Picture),2Pac,2003-11-04
27Ay0IVSnhfYB2XTEW8gn0,Nu-mixx Klazzics,2Pac,2003-10-07
0KmKhrRc4dFTA5dHMJlm5w,Animal Ambition: An Untamed Desire To Win,50 Cent,2014-06-03
7eEjgXDzF8rNVUwuiXtB7Y,Before I Self-Destruct,50 Cent,2009-01-01
5SGg2y6qyIqGg78XTmaYv4,Before I Self-Destruct - The Selects,50 Cent,2009-01-01
3AgCuejBHH780ROyGkKUvj,Bullet Proof,50 Cent,2007-01-30
5VfBwkAoSsQwtZjPU0Gr7h,Curtis,50 Cent,2007-01-01
7hVj5YSiBCxZmzjnsVwKKC,Live At The Hard Rock (Edited Version),50 Cent,2007-01-01
3LtIWfN1EITld1LloQwl2O,Get Rich Or Die Tryin,50 Cent,2007-01-01
2pidzXTaHV4WaIJYRxKDCH,The Massacre,50 Cent,2005-03-03
2UpMdkZlJUuiJ2QYETOrSu,Rare,50 Cent,2003-10-15
0OfzVAXf5aVP4W4NIOLTKj,Get Rich Or Die Tryin',50 Cent,2003-02-06
3WvQpufOsPzkZvcSuynCf3,We got it from Here... Thank You 4 Your service,A Tribe Called Quest,2016-11-11
0FH3WsTCWaDmfpEojJ4sN2,The Love Movement,A Tribe Called Quest,1998-09-29
0EguP4tsJurU5I8ocCxdyb,"Beats, Rhymes & Life",A Tribe Called Quest,1996-07-30
4v5x3Oo3UjQ9YmF3hRAip5,Midnight Marauders,A Tribe Called Quest,1993-11-09
1p12OAWwudgMqfMzjMvl2a,The Low End Theory,A Tribe Called Quest,1991-09-24
3kV0i1qqudjf0PGawJ4jck,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,1990-04-17
6bI4IQKBcLX0KsTjQ9NR97,Floor Seats,A$AP Ferg,2019-08-16
0tQ7Iu6EicQTPyhYRNWjaT,Still Striving,A$AP Ferg,2017-08-18
2h5LDCGJCWUyaoEXQZHky6,ALWAYS STRIVE AND PROSPER,A$AP Ferg,2016-06-22
3smlfAmejcKMmAPg1G2Kki,Trap Lord,A$AP Ferg,2013-08-19
0qr1Fvi1haEDWVbFtekZLb,Cozy Tapes Vol. 2: Too Cozy,A$AP Mob,2017-08-25
3RaACfwYTY9uiDy3VSWLLc,Cozy Tapes: Vol. 1 Friends -,A$AP Mob,2016-10-31
3MATDdrpHmQCmuOcozZjDa,TESTING,A$AP Rocky,2018-05-25
3arNdjotCvtiiLFfjKngMc,AT.LONG.LAST.A$AP,A$AP Rocky,2015-05-26
6rzMufuu8sLkIizM4q9c7J,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,2013
1CEeqK9sKrE7LzUHeT3bfP,Do What Thou Wilt.,Ab-Soul,2016-12-09
021zMZKO2pUA3yoUQFW2uy,These Days...,Ab-Soul,2014-06-24
26RLXRJA7aOOffZJGjUaSW,Control System,Ab-Soul,2012-05-11
446OAWTQsR7utlWr0gDkX0,Longterm Mentality,Ab-Soul,2011-04-05
1KvZT4NZm69EkOym8rLqW1,K.R.I.T. IZ HERE,Big K.R.I.T.,2019-07-12
7DUNqEpnwePiDrwO4R1xz3,TDT,Big K.R.I.T.,2019-01-11
6vGEX2ejVVsHTIsqI1teZg,4eva Is A Mighty Long Time,Big K.R.I.T.,2017-10-27
0XX3FIjtWd56K235GrjJCf,All My Life,Big K.R.I.T.,2015-11-20
7AUsm4Nzd6ApSgkLCHSjia,Cadillactica (Deluxe Version),Big K.R.I.T.,2014-08-25
2UltMFyGSTrCmIPnb5gjZX,Cadillactica (Deluxe),Big K.R.I.T.,2014-08-25
5ISxyfC6ThuSz2wP7NS2aF,Cadillactica,Big K.R.I.T.,2014-08-25
5yBkCapvSn1B6eTAbkcCfi,Live From The Underground (Explicit Version),Big K.R.I.T.,2012-01-01
5kE9pfTSekNenqqdlvtBQd,Live From The Underground,Big K.R.I.T.,2012-01-01
6GRzmk9UGL7odxprOPop1Q,Mos Def & Talib Kweli Are Black Star,Black Star,1998-09-29
7nn2Iaphg0Vc1NCGULkhVo,True to Self,Bryson Tiller,2017-05-26
6eZdwrhB97A3EYx9QppGfl,T R A P S O U L,Bryson Tiller,2015-10-02
5BisPwmcPAZ6jyo1GZNgIn,The GloFiles (Pt. 3),Chief Keef,2019-11-08
