artist_name,artist_uri,genres,artist_followers
21 Savage,1URnnhqYAYcrqrcwql10ft,"atl hip hop, pop rap, rap, trap",7310164
2Pac,1ZwdS5xdxEREPySFridCfh,"g funk, gangster rap, hip hop, rap, west coast rap",7650253
50 Cent,3q7HBObVc0L8jNeTe5Gofh,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",5761756
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,"alternative hip hop, conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, jazz rap, queens hip hop, rap",1118997
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,"hip hop, pop rap, rap, southern hip hop, trap, underground hip hop",2246420
A$AP Mob,7yO4IdJjCEPz7YgZMe25iS,"hip hop, rap, southern hip hop, trap, vapor trap",1273885
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,"east coast hip hop, hip hop, pop rap, rap, trap",6403790
Ab-Soul,0g9vAlRPK9Gt3FKCekk4TW,"alternative hip hop, conscious hip hop, hip hop, rap, southern hip hop, underground hip hop",630691
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,escape room,1305590
Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP,"alternative hip hop, conscious hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop",553322
Black Star,67ei8ib6PLT1w3OkhIb4fB,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop",220444
BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,"boy band, hip hop, pop, rap",1181456
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,"pop, pop rap, rap, trap",3858179
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,"chicago rap, conscious hip hop, hip hop, pop rap, rap",4598977
Chief Keef,15iVAtD3s3FsQR4w1v6M0P,"chicago drill, chicago rap, drill, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop, vapor trap",1894173
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,"atl hip hop, hip hop, pop rap, rap",5837798
Clipse,2J257euzcjnDLipsyJH3F2,"alternative hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop, trap",192108
Common,2GHclqNVjqGuiE5mA7BEoc,"alternative hip hop, chicago rap, conscious hip hop, gangster rap, hip hop, rap, southern hip hop",573135
Danny Brown,7aA592KWirLsnfb5ulGWvU,"alternative hip hop, detroit hip hop, escape room, hip hop, rap, underground hip hop",491436
Death Grips,5RADpgYLOuS2ZxDq7ggYYH,"alternative hip hop, escape room, experimental hip hop, hip hop",414135
Denzel Curry,6fxyWrfmjcbj5d12gXeiNV,"dark trap, drill, hip hop, miami hip hop, pop rap, rap, trap, underground hip hop",1112344
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,"g funk, gangster rap, hip hop, rap, west coast rap",4725022
Drake,3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap",43954538
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,"alternative hip hop, escape room, experimental hip hop, hip hop, rap, underground hip hop",1098086
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop, g funk, hip hop, rap",32170326
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop",5203612
Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,"alternative hip hop, escape room, hip hop, rap, southern hip hop, underground hip hop",411022
Future,1RyvyyTE3xzB2ZywiAwp0i,"atl hip hop, pop rap, rap, southern hip hop, trap",8278153
Ghostface Killah,6FD0unjzGQhX3b6eMccMJe,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop",476974
GZA,6ns6XAOsw4B0nDUIovAOUO,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop",254140
Isaiah Rashad,6aaMZ3fcfLv4tEbmY7bjRM,"hip hop, rap, underground hip hop",638606
