artist_name,artist_uri,genres,artist_followers,remove,notes
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,"hip hop, pop rap, rap, southern hip hop, trap",1662859,,
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap",3043913,,
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,trap,560106,,
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,"atl hip hop, hip hop, melodic rap, pop rap, rap, trap",1739191,,
WizKid,3tVQdUvClmAT7URs9V3rsp,"afro dancehall, afropop, azonto, nigerian hip hop, nigerian pop",341436,,
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"latin, reggaeton",17266458,,
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,"florida rap, hip hop, melodic rap, miami hip hop, pop rap, rap, southern hip hop, trap",5461860,,
Quavo,0VRj0yCOv2FXJNP47XQnx5,"atl hip hop, hip hop, melodic rap, pop rap, rap, southern hip hop, trap",3607074,,
Key Glock,0RESbWvOMyua0yuyVrztJ5,"rap, southern hip hop, trap",436211,,
ILOVEMAKONNEN,3aGFCoR8xGN6DKwvdzeSja,"atl hip hop, lgbtq+ hip hop, trap, underground hip hop",305739,,
ManMan Savage,5lwGLTTHEe9o4eUmiS8M5l,atl trap,2104,,
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,"hip pop, neo soul, pop, r&b, urban contemporary",7065170,,
Miguel,360IAlyVv4PCEVjgyMZrxK,"dance pop, pop, pop rap, r&b, urban contemporary",2621431,,
Normani,2cWZOOzeOm4WmBJRnD5R7I,"dance pop, pop, pop rap, post-teen pop, r&b",702227,,
Jhene Aiko,5ZS223C6JyBfXasXxrRqOk,"alternative r&b, pop, pop rap, r&b, urban contemporary",2770261,,Fixed artist_name
Summer Walker,57LYzLEk2LcFghVwuWbcuS,"pop, pop rap",844255,,
SahBabii,7GuUYiGZOzQwq4L6gAfy1T,"melodic rap, rap, trap, underground hip hop, vapor trap",333279,,
BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,"pop rap, rap, southern hip hop, trap, vapor trap",991546,,
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,"east coast hip hop, hip hop, pop rap, rap, trap",6411585,,
London On Da Track,5Nf5yishRW9Ye174sJISkg,atl hip hop,46725,,
Dead Prez,2UBt0GWBuPVXlPisRvWzlD,"alternative hip hop, conscious hip hop, east coast hip hop, hardcore hip hop, hip hop",101862,,
Outlawz,2jp3Fk52x0HbymU0lNYbSC,gangster rap,99385,,
Kurupt,6NyJIFHAePjHR1pFxwisqz,"g funk, gangster rap, hardcore hip hop, hip hop, rap, west coast rap, west coast trap",316658,,
Butch Cassidy,3uISNNuONokIh21KiNharS,"g funk, west coast rap",3601,,
Dwele,7u6LfVyYpEzMpHLL7jTyvU,"neo soul, r&b, urban contemporary",172811,1,pop
Styles P,2x8KDZdSONA3872CnhaAlX,"battle rap, east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop, trap",338373,,
Krayzie Bone,53B8dEQzmtefvkdCAkO0YR,"dirty south rap, gangster rap",162153,,
T.I.,4OBJLual30L7gRl5UkeRcT,"atl hip hop, dance pop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",3120055,,
Ashanti,5rkVyNGXEgeUqKkB5ccK83,"dance pop, hip hop, hip pop, pop, r&b, rap, southern hip hop, urban contemporary",1695275,,
Hussein Fatal,320OQx68FlvfJiPGSx5mxW,new jersey rap,8583,,
Papoose,0mbgkaYR8KNUb5s3s1yYHG,"battle rap, hardcore hip hop",181398,,
Carl Thomas,6I6t21SFbxZ7RbQgD5dN7U,"dance pop, hip pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary",358174,1,pop
Keyshia Cole,1vfezMIyCr4XUdYRaKIKi3,"dance pop, deep pop r&b, hip pop, neo soul, pop, pop rap, r&b, rap, urban contemporary",1901926,,
Young Buck,4pr7J7wzgObkE3DD3Izi7q,"crunk, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",550201,,
Chamillionaire,6vdMPayKk8YJxxeNP5oMCb,"dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",463295,,
Nipsey Hussle,0EeQBlQJFiAfJeVN2vT9s0,"conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",1266967,,
Lil Scrappy,5einkgXXrjhfYCyac1FANB,"atl hip hop, crunk, dirty south rap, gangster rap, pop rap, rap, southern hip hop, trap, wrestling",407084,,
Stormzy,2SrSdSvpminqmStGELCSNd,"grime, uk hip hop",1340870,,
Ludacris,3ipn9JLAPI5GUEo4y4jcoi,"atl hip hop, dance pop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap",1748464,,
Big Syke,5J32qSlWzKCdcL31B8wglv,"g funk, west coast rap",19445,,
Yung Gravy,2YOYua8FpudSEiB9s88IgQ,"meme rap, minnesota hip hop, pop rap",704801,,
40 Cal.,5q0rjReMjmAaHzn048NtB1,"harlem hip hop, nyc rap",18675,,
Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,"electropop, indie poptimism, pop",349367,1,pop
Paul Wall,0k7Xl1pqI3tu8sSEjo5oEg,"crunk, dirty south rap, gangster rap, hip hop, houston rap, pop rap, rap, southern hip hop, trap",427948,,
K-Ci & JoJo,05RZIdfz59ZW2FvFuwnmNK,"dance pop, hip pop, new jack swing, quiet storm, r&b, urban contemporary",816753,,
Tha Dogg Pound,5UtQf6Eqewo02lVCo3lImQ,"g funk, gangster rap, hardcore hip hop, hip hop, hyphy, rap, southern hip hop, west coast rap, west coast trap",415365,,
Nate Dogg,1Oa0bMld0A3u5OTYfMzp5h,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",767415,,
