album_uri,album_name,artist,release_date,album_type,remove,notes,index_to_split,groups_to_split
246jQH7urAwAS5jdk1Ndna,Due To Me,Jean Deaux,2/14/18,album,0,NA,2709,5
7bVTqWD27L2VhdudJ46Dpm,Empathy,Jean Deaux,6/14/19,album,0,NA,2710,5
7AU39EFesW8xPy7MFk41tP,Father Time,Jean Deaux,7/7/17,album,0,NA,2711,5
1JRVVaDOaT7yw7DgJZqER0,Krash,Jean Deaux,10/19/18,album,0,NA,2712,5
6mVPlMOZ7B8i613jmI6uW2,SSN (They Say),Jean Deaux,4/18/18,album,0,NA,2713,5
0LXUCKAfv8QEUMZlJy0DpK,Wikipedia,Jean Deaux,9/14/17,album,0,NA,2714,5
4nFst0pvcY0kzLbbgXS3GH,A History Of Violence,Jedi Mind Tricks,11/11/08,album,0,NA,2715,5
3VJufj4PsgwY8LWHWCQsUU,"Before The Great Collapse (12"")",Jedi Mind Tricks,12/21/10,album,0,NA,2716,5
3VHyBksgWT6tKYowb8QASE,Certified Dope,Jedi Mind Tricks,5/18/18,album,0,NA,2717,5
46k1KxVfky4xelptsV1mhh,Legacy Of Blood,Jedi Mind Tricks,8/24/04,album,0,NA,2718,5
7dz283XnnSh0IMuOectYah,Outerspace,Jedi Mind Tricks,5/25/04,album,0,NA,2719,5
142AqKberLObsInyN1SooH,"Retaliation (12"")",Jedi Mind Tricks,12/21/10,album,0,NA,2720,5
6Zni7uyOmkTkAp53t5wHJf,San La Muerte,Jedi Mind Tricks,5/4/18,album,0,NA,2721,5
1Po1bRIZS7PXEF7qyVP0J4,"Servants In Heaven, Kings In Hell",Jedi Mind Tricks,9/19/06,album,0,NA,2722,5
2FNFYZ93J1h74x7N36bhcp,"The Age Of The Sacred Terror (12"")",Jedi Mind Tricks,12/21/10,album,0,NA,2723,5
6EToH3CGIwlrBCPRHLOyHK,The Bridge and the Abyss,Jedi Mind Tricks,6/22/18,album,0,NA,2724,5
0COYymkowrajQkjO3TGCxM,"The Psycho-social, Chemical, Biological, And Electro-magnetic Manipulation Of Human Consiousness",Jedi Mind Tricks,5/20/03,album,0,NA,2725,5
4TwVDBmAV1DXSwXbGu5vGD,The Thief and the Fallen,Jedi Mind Tricks,6/2/15,album,0,NA,2726,5
1OT6Ow2YWScyicn8IIO8E5,Violence Begets Violence,Jedi Mind Tricks,10/25/11,album,0,NA,2727,5
68e1Ou1jnKgDwLkCsOPc4M,Violent By Design,Jedi Mind Tricks,5/25/04,album,0,NA,2728,5
6ZkgLNCoApyC62eYrsKukV,Visions Of Gandhi,Jedi Mind Tricks,2003,album,0,NA,2729,5
3Q2CoOVzu8dpbQ6R4HGqsA,You Have One Devil but Five Angels,Jedi Mind Tricks,6/1/18,album,0,NA,2730,5
11SMu0CbO5sGnTofPeCf1r,Ritual of Battle,"Jedi Mind Tricks, Army Of The Pharaohs",9/25/07,album,0,NA,2731,5
7kBK7f7V0vuag74KojKlrs,The Torture Papers,"Jedi Mind Tricks, Army Of The Pharaohs",3/21/06,album,0,NA,2732,5
12BBdHd3uBHHh5FDlEOcz9,All Platinum Everything,Jeezy,3/22/11,album,0,NA,2733,5
1KhjlEUXRxVVyCbhiqjop4,Can't Ban The Snowman [Clean],Jeezy,6/1/11,album,0,NA,2734,5
5RHakS5UXhhnyT96maP8ic,Church In These Streets,Jeezy,11/13/15,album,0,NA,2735,5
0iI7ROZdbT3nAkVVe0QTwg,Come Shop Wit Me,Jeezy,6/1/11,album,0,NA,2736,5
5rJDj8p6MqWx41Evt63gtK,Seen It All: The Autobiography (Deluxe),Jeezy,9/2/14,album,0,NA,2737,5
1eIRiYDWnh2Vu4c2DYX340,Snowman,Jeezy,6/7/11,album,0,NA,2738,5
4GvDHEW1goHkqJbLJHzUUf,TM:103 Hustlerz Ambition (Deluxe),Jeezy,1/1/11,album,0,NA,2739,5
3eYmN6spICNGH3gmdPpDtm,TM104: The Legend of the Snowman,Jeezy,8/23/19,album,0,NA,2740,5
00DKLvomMIGBjB3NvYDWfU,Trap Or Die 3,Jeezy,10/28/16,album,0,NA,2741,5
16RIb0QQrU27BHvANWhyRW,When the North & South Collide Part 2,"Jeezy, Fabolous",8/7/07,album,0,NA,2742,5
2rpzZr2Z3NvzYpcD1y34pb,All About You (Deluxe Edition),Jeremih,1/1/10,album,0,NA,2743,5
5pjw8w5tKfWgrKqsaaGBKx,Jeremih,Jeremih,1/1/09,album,0,NA,2744,5
7DMyQuDPe8xzjC0UDSDa96,Late Nights: The Album,Jeremih,12/4/15,album,0,NA,2745,5
5lzIw8JJbYef7RuwTVcZxb,The Chocolate Box,Jeremih,3/9/18,album,0,NA,2746,5
14CCJuZrIfUdLqyHobH4J6,I Herd Um Say,Jermaine Dupri,10/5/10,album,0,NA,2747,5
3ssplToLM7k3pX7wCyMSht,Instructions (Explicit Version),Jermaine Dupri,10/30/01,album,0,NA,2748,5
2U1y7YJQwbI6L4ySrH81hq,"Jermaine Dupri Presents... Young, Fly & Flashy",Jermaine Dupri,1/1/05,album,0,NA,2749,5
5KMb0d0VR92Q3waKMAsLNP,Pull Up (feat. Ty Dolla $ign & Migos),Jermaine Dupri,12/10/14,album,0,NA,2750,5
3DhKZYWnoranyYnHHzTtyY,WYA (Where You At?) [feat. Bow Wow] - Single,Jermaine Dupri,5/21/15,album,0,NA,2751,5
5E00DlJBx82TK8AWEdxBIa,Y'all Know What This Is...The Hits,Jermaine Dupri,1/1/07,album,0,NA,2752,5
68ZxrmZlmz11kS3RIXxTk2,Alessandro Michele,"Jermaine Dupri, Da Brat",9/16/16,album,0,NA,2753,5
1TGUHK4imBTvLWxsic1CEk,F U Pay Me (feat. The Dream) - Single,"Jermaine Dupri, Da Brat",9/2/16,album,0,NA,2754,5
0LJhWVR4I7EMMo8hKtS519,Level Up,"Jermaine Dupri, Da Brat",12/8/16,album,0,NA,2755,5
0JYIkuIdMueMCFzCMYcQa0,Foes (feat. Mishon) - Single,"Jermaine Dupri, DJ Turbulence",12/3/15,album,0,NA,2756,5
6qsPkfhNfP5KrGBE0hJwAR,Tit for Tat,"Jesse James Solomon, Giggs",11/20/19,album,0,NA,2757,5
0dZlf6U1djSwKxMrJ0RZgQ,Being Human In Public,Jessie Reyez,10/19/18,album,0,NA,2758,5
1UkmWpR2LjZq57qJGxMp81,CRAZY,Jessie Reyez,11/15/19,album,0,NA,2759,5
6oSnvw7yQpDFFTZIZA4Rxx,FAR AWAY,Jessie Reyez,10/4/19,album,0,NA,2760,5
2q7EwuXduuQGDJrPYPVFyw,Kiddo,Jessie Reyez,4/21/17,album,0,NA,2761,5
1cotXPn0CcR0ZCQWcTtZe0,LOVE IN THE DARK,Jessie Reyez,1/23/20,album,0,NA,2762,5
7uMPr1RFVVffsjyQ2j3zWZ,No Sweat,Jessie Reyez,1/19/20,album,0,NA,2763,5
29vt4BpW3GYX7hHCbFkhfg,Imported (with 6LACK),"Jessie Reyez, 6LACK",4/9/19,album,0,NA,2764,5
5QBTekafQo0lH43ewstVZv,"Figures, a Reprise","Jessie Reyez, Daniel Caesar",3/26/18,album,0,NA,2765,5
54aMsOV9b7WTdRyfYaJcLf,Never Call Me (feat. YG) [Remix],Jhene Aiko,8/3/18,album,0,NA,2766,5
2pq9ByHGHMflMY3qy20BMW,None Of Your Concern,Jhene Aiko,11/15/19,album,0,NA,2767,5
0NC1AcoK5y2cBLwzej6tqE,P*$$Y Fairy (OTW),Jhene Aiko,1/17/20,album,0,NA,2768,5
73TNMu44lT0m1h1Nn6Bfiq,Sail Out,Jhene Aiko,1/1/13,album,0,NA,2769,5
6UKXuiWFuwxzC5rd0SW4Bo,Souled Out (Deluxe),Jhene Aiko,9/8/14,album,0,NA,2770,5
2NGGOdyDlyb4bu3vqQqF83,Trigger Protection Mantra,Jhene Aiko,9/13/19,album,0,NA,2771,5
7CAAClnSiXdMibPT1oyl4k,Trip,Jhene Aiko,9/22/17,album,0,NA,2772,5
2zMEyUCS2gU5Igc5A6dhaU,Wasted Love Freestyle,Jhene Aiko,12/20/18,album,0,NA,2773,5
7gweQOZRW1sGNVXuxsjC2C,Triggered (Remix),"Jhene Aiko, 21 Savage, Summer Walker",10/2/19,album,0,NA,2774,5
7nMFeN15C9XmHnFNgIksfK,Capo,Jim Jones,4/5/11,album,0,NA,2775,5
77EMJycaqrEDEcZGsK669f,Capo Life,Jim Jones,3/29/11,album,0,NA,2776,5
0YOL0askXiWYHUJV3YjVtr,El Capo,Jim Jones,5/31/19,album,0,NA,2777,5
40yjQFWiXENCxsvSFvm1hU,Miami Vampin,Jim Jones,5/20/15,album,0,NA,2778,5
5RNouKhH9hFuLMrdHwprLJ,Nocturnal,Jim Jones,10/29/11,album,0,NA,2779,5
5KeOOX9AvR13yopcOZWazo,Pray IV Reign,Jim Jones,3/19/09,album,0,NA,2780,5
3zOgTOzvJT0MHGxpsiJntl,The Capo Chronicles,Jim Jones,9/22/10,album,0,NA,2781,5
5YWI7rNdPUPNmCWMWwBP3f,The Ghost of Rich Porter,Jim Jones,8/20/13,album,0,NA,2782,5
5ZpXDcBIM7P8UICdJb84Jq,The Kitchen,Jim Jones,6/3/16,album,0,NA,2783,5
75Hwpzx1kvp2DeH5yxjfrz,Vampire Life,Jim Jones,5/14/13,album,0,NA,2784,5
3VNZivWgX0r9wJAdKnF66l,Vampire Life 2,Jim Jones,8/13/13,album,0,NA,2785,5
3VfBe3g3Pq0r75AZQVq168,Vampire Life 3,Jim Jones,8/13/13,album,0,NA,2786,5
24PNHeB36O16EPzuPHesjJ,Wasted Talent,Jim Jones,4/13/18,album,0,NA,2787,5
05WD1UBnuxJ2ISVVEgLhL9,We Own The Night Pt. 2: Memoirs Of A Hustler,Jim Jones,9/9/14,album,0,NA,2788,5
7wHHwbliBmr7XFSnT9rLXc,All Rap (feat. Young Thug & RJMrLA),Joe Moses,9/27/19,album,0,NA,2789,5
3vPU4cHsIj912ItTNdhr3A,Brackin,Joe Moses,5/5/15,album,0,NA,2790,5
2poSoAvXNjDQZUsJPmYznD,DJ Scream Presents: All Out,Joe Moses,7/28/14,album,0,NA,2791,5
2juP0PxLciMhQjILW3SqNZ,"From Nothing to Something, Vol. 2 (Deluxe Edition)",Joe Moses,1/16/13,album,0,NA,2792,5
24UeJigGG0WqQfwUn57zKA,Go Viral (feat. Future & Metro Boomin),Joe Moses,8/12/19,album,0,NA,2793,5
02bA2YthEOOErCl8EIXfas,In The Hood (Original),Joe Moses,5/30/18,album,0,NA,2794,5
0qoOGqPLPd5Vf7s4bTCNbp,Intro (Original),Joe Moses,5/30/18,album,0,NA,2795,5
10tkbXnUUdCfOm0UCAWHaU,Last Time (feat. Eric Bellinger),Joe Moses,6/28/19,album,0,NA,2796,5
4xoUS4mV3tf6G3wDugDGpk,Round Here (Original),Joe Moses,5/30/18,album,0,NA,2797,5
6dE4pNsdv55Z4R9cQ7bkeY,SuWop EP,Joe Moses,6/1/18,album,0,NA,2798,5
1XS4dwb0CyWjJX3cDoqTAd,The Streets,Joe Moses,1/1/12,album,0,NA,2799,5
3BqogSRDhyWuaI6uWYuYBh,Throw It Up (Original),Joe Moses,5/30/18,album,0,NA,2800,5
1STI1caYlgDRRaU1dqm5yp,We Living (Original),Joe Moses,5/30/18,album,0,NA,2801,5
4deOMAH3dPtOXlIRL8uch8,Westside,Joe Moses,11/8/19,album,0,NA,2802,5
