album_uri,album_name,artist,release_date,album_type,index_to_split,groups_to_split
1KZRl3u23zv5NrEyAMpr8S,2K7 Instrumentals,Dan The Automator,2006-11-21,album,10407,9
50iCCVKY83ZHqlGG7jZrlJ,2K7,Dan The Automator,2006-09-19,album,10408,9
1fqhsJGN2HUP9WmPRnnCR2,2K7 - Instrumentals,Dan The Automator,2006-05-22,album,10409,9
5008fHxViUNzM3WVjWrp56,"Bombay The Hard Way- Guns, Cars, & Sitars",Dan The Automator,1999-03-23,album,10410,9
2B7oW4t33BZ9qyNw6AMjES,Dan the Automator - Booksmart Podcast,Dan The Automator,2019-08-23,album,10411,9
2AtgvA694YpY076wNmRvPJ,Full Star (From the Booksmart Score),Dan The Automator,2019-05-10,album,10412,9
10WLaM6WghEkmqBFFk3WtV,Famous (2.0 Dan the Automator on the Fader),"Superorganism, Dan The Automator",2018-06-15,album,10413,9
1lXeP6SsQWhee3sEQP3PoM,"What Makes the World Go Round? (Money!) [From the Motion Picture ""Money Monster""]",Dan The Automator,2017-05-10,album,10414,9
2oJjteBQ1plwoATDMn5X2d,A New Day,Dan The Automator,2017-02-22,album,10415,9
0QcuM0iGrDruo4LkNdN2iI,World Renown,"Mr. Lif, Dan The Automator",2016-06-14,album,10416,9
1HryNiu3g8fKqjX5LYC6Ca,Rapper's Delight - Live Young - Single,Dan The Automator,2009-07-06,album,10417,9
0wncLi4FKKDhRlJm8PQjLb,Don't Hate The Player / Baller Blockin',Dan The Automator,2006-09-12,album,10418,9
47dB9HchmU1kBIi8J5OyeU,RAWTHER,"Asher Roth, Nottz Raw, Travis Barker",2017-03-10,album,10419,9
7yGhzQHa5e45VI0zqQjvbq,Give The Drummer Some (Deluxe),Travis Barker,2011-01-01,album,10420,9
6oaM5kGTYUQAUozVrDR4fq,Give The Drummer Some,Travis Barker,2011-01-01,album,10421,9
0jwjHmEFzPikKTe2xsVkbZ,Gimme Brain,"Travis Barker, Lil Wayne, Rick Ross",2019-12-13,album,10422,9
451rwXrN2roXSEoL7UjqeS,Good Things Fall Apart (with Jon Bellion) [Travis Barker Remix],"ILLENIUM, Jon Bellion, Travis Barker",2019-12-03,album,10423,9
78LoEWcpdvgRImtnfTZe0q,BLOODLUST,"nothing,nowhere., Travis Barker",2019-09-27,album,10424,9
1b2zt8BV1eLwgA4IeRBd9g,Long Live (feat. Travis Barker),"Lights, Travis Barker",2019-09-20,album,10425,9
3gd7jlNoncQ6kGbTnbjppA,Friends Go (feat. Travis Barker),"Maggie Lindemann, Travis Barker",2019-06-21,album,10426,9
3TSr9PtbSLkZ7OiSQg0nQQ,LIVE FAST DIE WHENEVER,"$uicideBoy$, Travis Barker",2019-05-24,album,10427,9
6ST9kR1kQI3hmHuBOiBSW6,Aliens Are Ghosts,"$uicideBoy$, Travis Barker",2019-05-17,album,10428,9
4AESd5EFoBv2n1NCdtdxe7,nothingleftnothingleft,"$uicideBoy$, Travis Barker",2019-05-09,album,10429,9
1XhJQzckx0RTcKoFvdghG0,Hammer (Travis Barker Remix),"nothing,nowhere., Travis Barker",2018-11-30,album,10430,9
