track_artists,album_name,track_uri,track_name,track_popularity
Rich Kidz,My Partna Dem (Remix) Feat. Lil Scrappy & Ludacris,5FxLWmvtkc7KJArAzlkPm5,My Partna Dem (Remix) Feat. Lil Scrappy & Ludacris,19
Rich Kidz,Straight Like That,4ML790lfH2MYwkSYbWAnTD,Intro,4
Yung Thug,Straight Like That,5mWKRYAwy3RRnDfEZMnba6,100 Dollar Autograph (feat. Yung Thug),17
Rich Kidz,Straight Like That,4sgLhKVWmDOnTwjvp5yBfM,Stiff On 'em,13
Rich Kidz,Straight Like That,7uVBRwjVTzDGEbz2khbVHq,Balling Everyday Freestyle,11
Wee Wee,Straight Like That,5FiTtGc8ReEkiQHSrwhAF7,On My Block (feat. Wee Wee),7
Rich Kidz,Straight Like That,14gMaJJQmX76EEkjf7RnaB,Rich Talk Drop,4
Sabo,Straight Like That,4pRtln2K4cUICs0nUhK6kA,Bend Over (feat. Sabo),13
KaP,Straight Like That,2FgC5z1L4PIUnPQLL2j0x4,Age Aint Nun (feat. Kap),7
DKC,Straight Like That,4ZPEGAqWolbMvcA3ah8RJR,Extravaganza (feat. Dkc),5
DFB,Straight Like That,3KuJQAIlezt8hLMP05UV4C,Kick Rocks (feat. Dfb),6
Rich Kidz,Straight Like That,5IOPttwlSwBxBFzvGHoqJ0,Popping Shit Interlude,3
Wee Wee 2500,Straight Like That,6T0tZ40Yr7Pq5XyUgPB1r7,Blind Hatin (feat. Wee Wee 2500),9
Rich Kidz,Straight Like That,7B3XIckojqfxwMQWWdnLqc,Friends Wit Benefits,21
Sabo,Straight Like That,2IOWqXdhYrYsnVYlFdZfdm,Me and You (feat. Sabo),12
Rich Kidz,Straight Like That,6qjZZFAFVB9lX7WGi54jUi,I See You Rmx,11
Rich Kidz,Straight Like That 2,7wGV2yoyCOxA5gwidFvbCk,#poppinshit2,6
Rich Kidz,Straight Like That 2,3xE8jqHgNpENHUgb2HxTY0,#legsgoup,3
Rich Kidz,Straight Like That 2,1I61xNJZ1yTdlU9yxirM7H,#100dollarautograph,14
Rich Kidz,Straight Like That 2,1GgniDj0lWk5luD4XKWKU3,#rumor,7
Rich Kidz,Straight Like That 2,7mvYITANDcVN70SiuepldR,#work,5
Rich Kidz,Straight Like That 2,0kBi8hn2Unu3yS122FyyaB,#superfly,1
Rich Kidz,Straight Like That 2,1c5eydYAc2lGVccCLsxpkh,#cuttnup,3
Rich Kidz,Straight Like That 2,2S7v1CI3rjfTtNBNONVAEV,#outthadoe,2
Rich Kidz,Straight Like That 2,5BYeEcfMMUTFaXgGWILiqA,@gregstreet @djfrankwhite @richkidz4l,0
Rich Kidz,Straight Like That 2,2hN6PxOAqVFy1VskBVkD82,#404,2
Rich Kidz,Straight Like That 2,29FpEBkznNG0HiLca1khKo,#whyus,15
Rich Kidz,Straight Like That 2,2YQdf0tyMMoq5t9wgp6o0i,#ibeinthetrap,3
Rich Kidz,Straight Like That 2,5Qq3TMd4ZlpDfREENo4Igd,#dream,7
Rich Kidz,Straight Like That 2,7HAEZbdeQ340x0vOQkqrEe,#prettygirlsdrop,0
Rich Kidz,Straight Like That 2,6kl9UtukShv6tZ4uc1IAWn,#prettygirls,1
Rich Kidz,Straight Like That 2,0ovtIVU3E192dUwDvssj7A,#pajamatime,11
Rich Kidz,Straight Like That 2,4423JHFtYUpcARckXaB6b6,#friendswitbenefits (Bonus),8
Rich Kidz,Y.A.R.S,7bCii3Q5g4ByvK1BS5QlYU,Fuk Dat,7
Rich Kidz,Y.A.R.S,4LKqPcq9kNv6Uarj7TjZXU,Wanted,8
Rich Kidz,Y.A.R.S,7mx6XcxUcDAnsgCXtQjbMM,More,13
Rich Kidz,Y.A.R.S,2ynA4luOFgh0FYCF23Wh7x,Cheetah,6
Rich Kidz,Y.A.R.S,5qGFAKo62yYfwJ8QCzcWoM,All Around the World,9
Rich Kidz,Y.A.R.S,1OjhMcxsRCcgkBOMershUV,No,10
"Rich The Kid, Roddy Ricch",Go Up (feat. Roddy Ricch),0cMPXkjXXkMqokO9LIFPFn,Go Up (feat. Roddy Ricch),62
"Rich The Kid, Quavo",That's Tuff,3JERoo6pokCgQ81z79Jpmo,That's Tuff (feat. Quavo),72
Rich The Kid,The World Is Yours,6I6l5hEEVc7IQqMtRJWguT,World Is Yours,43
"Rich The Kid, Kendrick Lamar",The World Is Yours,2EgB4n6XyBsuNUbuarr4eG,New Freezer (feat. Kendrick Lamar),68
"Rich The Kid, Future",The World Is Yours,26oZOwsCywHXPRvLVORbgw,No Question (feat Future),52
Rich The Kid,The World Is Yours,3yAVrwXhueRFZMUjxkh2ia,Leave Me,59
Rich The Kid,The World Is Yours,1ZAyjvIk9YiD76yYy0TEG6,Plug Walk,76
"Rich The Kid, Khalid",The World Is Yours,7weyB4Zuj9QDwQrFbveSpG,Too Gone (feat. Khalid),52
"Rich The Kid, Jay Critch, Rick Ross",The World Is Yours,5ids0a6BGu6Q3bGmxcLC8Q,Made It (feat. Jay Critch & Rick Ross),45
"Rich The Kid, Chris Brown",The World Is Yours,0WbRIcUbmPUd8DIYcH13oD,Drippin' (feat. Chris Brown),45
"Rich The Kid, Quavo, Offset",The World Is Yours,68449VKGwYShObwI2UFdFt,Lost It (feat. Quavo & Offset),62
"Rich The Kid, Lil Wayne",The World Is Yours,4nSSZHI4FUIiQOJELTTZdS,End Of Discussion (feat. Lil Wayne),51
"Rich The Kid, Trippie Redd",The World Is Yours,5I9ToLsF7Rrt9PZ71uk0Qq,Early Morning Trappin (feat. Trippie Redd),56
Rich The Kid,The World Is Yours,1NMd9nujZzEGN34BtpO8Xf,Small Things,46
Rich The Kid,The World Is Yours,0p2HZtrsoJKgIYVAx0XDA5,Listen Up,41
"Rich The Kid, Swae Lee, Offset",The World Is Yours,0gGBye5WT5kKMXZczipVwK,Gargoyle (feat. Swae Lee & Offset),46
Rich The Kid,The World Is Yours,0lZ3yLWp2pAWExImZVSGJ3,Dead Friends,53
Rich The Kid,The World Is Yours 2,4jE6bNf4AOUs4mxPe3Ye5e,World Is Yours 2 - Intro,53
Rich The Kid,The World Is Yours 2,4m2n0xzP9VnaQnhim9aYCD,Slide,46
Rich The Kid,The World Is Yours 2,3KLo7ByvjCNyBrfz5DZ2mO,Splashin,74
"Rich The Kid, Young Thug, Gunna",The World Is Yours 2,4bi9YrkOvmg4Eb7h00AW2c,Fall Threw (feat. Young Thug & Gunna),58
Rich The Kid,The World Is Yours 2,20QsjZcPfLlW9OidT7RphJ,Save That,64
"Rich The Kid, Offset, Big Sean",The World Is Yours 2,7r62wx5N1cOQxYr6b0p2Bi,Two Cups (feat. Offset & Big Sean),54
Rich The Kid,The World Is Yours 2,1VxXvgu6BhUg3PdTOoTTvv,Racks Today,47
"Rich The Kid, Miguel, Ty Dolla $ign",The World Is Yours 2,2lAUMDyWq80slJVsrYyD7N,Woah (feat. Miguel & Ty Dolla $ign),61
"Rich The Kid, Tory Lanez",The World Is Yours 2,2VGD6mGeuv6aORaU0vKsHB,Tic Toc (with Tory Lanez),60
"Rich The Kid, NAV",The World Is Yours 2,2Fr62Hoy2F3A0OfMPa7gxK,Wrong Thing (feat. NAV),47
Rich The Kid,The World Is Yours 2,2uev0LUP98t1npGu4GkaVT,4 Phones,54
"Rich The Kid, Takeoff, Lil Pump",The World Is Yours 2,0L1Wwj6636oMkD6BkDq3JK,Rockets (feat. Takeoff & Lil Pump),50
"Rich The Kid, Jay Critch, A Boogie Wit da Hoodie",The World Is Yours 2,4gJUBncw0XCMTBHneTjqGx,Like Mike (feat. Jay Critch & A Boogie wit da Hoodie),54
Rich The Kid,The World Is Yours 2,2GN8HCRiu9mjeWwNN33Xb4,Racks Out,46
"Rich The Kid, Vory",The World Is Yours 2,4RsLvd1zrcEiyXZmTU3E27,Ring Ring (feat. Vory),48
"Rich The Kid, YoungBoy Never Broke Again",The World Is Yours 2,6sZUGkgvbNfd4rabcQ8Tj7,For Keeps (feat. YoungBoy Never Broke Again),54
"Rich The Kid, Famous Dex, Jay Critch",Party Bus,2RPNu8WTEHuInQJqRYDlWA,Party Bus,52
"Rich The Kid, Famous Dex",Rich Forever 4,5EHdC7rxFUREUESTEI80Dv,Rich Shit,44
83 Babies,Rich Forever 4,66188Ive5jiKz9VEdBirAb,Drip Layer,41
"Rich The Kid, Famous Dex, Jay Critch",Rich Forever 4,0L8oNO0RRrjUqJijjjstbf,Party Bus,51
"Rich The Kid, Jay Critch, A$AP Ferg",Rich Forever 4,4KA2BWwYcC8ujPvCT3BnWc,Flex Up,50
"Famous Dex, Jay Critch",Rich Forever 4,2M2Xo0BRxWHKkxWSmJ4LSL,Broke As Shit,43
"Rich The Kid, 83 Babies",Rich Forever 4,7AhVtIxw69zXelyfTRb7pD,So Nasty,40
"Rich The Kid, Jay Critch",Rich Forever 4,6QSsY6S3tr1pZWKcRq13Zn,Speed Racing,44
"Bino, 83 Babies",Rich Forever 4,61CTSPYSbSZEsOZuttpihe,Chanel Frames,36
"Famous Dex, Rich The Kid",Rich Forever 4,0W1kFJ2brOCYTkxlvABaN6,Off The Lot,45
"Bino, 83 Babies",Rich Forever 4,2CPwvBbAkeJeseDaKHfQFL,Get The Bag,33
"83 Babies, Airi",Rich Forever 4,2CxsxJlNT7pHSfDW8viIMA,Tell Me,36
"Tg3 Thr33, 83 Babies",Rich Forever 4,2TeHfvRV3kgYnZUTDjyJ8s,Numbers,39
"Rich The Kid, YoungBoy Never Broke Again",Money Talk,2YwC2IM0ykBxtMBH9aMe5m,Money Talk,76
Rick Rock,"Buddha, Buddha",79xnIYtosJxGF6I4tCJsgU,"Buddha, Buddha",1
Rick Rock,"Buddha, Buddha",1XN0dOCzpuBCFVUEl32hfC,Sputnik,0
"Rick Ross, John Legend",Black Market (Deluxe),3PK57CqgX2LEokeHBZX1s6,Free Enterprise,38
"Rick Ross, CeeLo Green",Black Market (Deluxe),3Yd1FoTUgQRzemjvf3pHTg,"Smile Mama, Smile",34
"Rick Ross, Nas",Black Market (Deluxe),5GtaurJ5PknAV5NqCVb36p,One Of Us,39
Rick Ross,Black Market (Deluxe),6gqBL9FRnm0wQtjZJSvJux,Silk Road,33
Rick Ross,Black Market (Deluxe),4JHPCiyQtwLSjbCoJcHjwE,Color Money,35
Rick Ross,Black Market (Deluxe),4ZEUrAodrkSBVzFc1VQ86m,Dope Dick,31
Rick Ross,Black Market (Deluxe),2bbQpyQanCUNXX1vUxCWNi,Crocodile Python,35
Rick Ross,Black Market (Deluxe),4uCzGKfkflkmyJvhkxEsCm,Ghostwriter,33
"Rick Ross, DJ Premier",Black Market (Deluxe),2RQVUkKcW6rOhGIoiH4P1S,Black Opium,30
"Rick Ross, Mariah Carey",Black Market (Deluxe),2lzqa3Pp9b7ul5v2iXe9XD,Can't Say No,31
Rick Ross,Black Market (Deluxe),4T1WYLx5THs9vvXrberma2,Peace Sign,35
"Rick Ross, Mary J. Blige",Black Market (Deluxe),0yamdud6GJ8RJGxtqbX0xo,Very Best,29
"Rick Ross, Chris Brown",Black Market (Deluxe),6adehXz8vMUmXWJhEIdE6e,Sorry,53
"Rick Ross, Future",Black Market (Deluxe),0sFs1BgewdVt2DYI8ptW1x,D.O.P.E.,31
Rick Ross,Black Market (Deluxe),0KruPWd88IZpzJVv6N7bKT,Foreclosures,37
"Rick Ross, The-Dream",Black Market (Deluxe),77fWL7hrNkrDyZHu7LyiNF,Money Dance,37
Rick Ross,Black Market (Deluxe),6MITnWyneHLgBRfre158zo,Carol City,32
