X1,album_name,track_name,track_uri,artist,feature
1,The Slaughter Tape,Skrrt Skrrt,065LHZtJbXDZNAaQ2wQ5Sd,21 Savage,NA
2,The Slaughter Tape,Pimp,3IDT2Uym5rKea8YprYyeBt,21 Savage,NA
3,The Slaughter Tape,Gang,4KP63LKrVrEdAK176UJYg8,21 Savage,NA
4,The Slaughter Tape,Picky,5BH86QTag2wQ95HSrEGqQX,21 Savage,NA
5,The Slaughter Tape,Slaughter Ya Daughter,0ikF7YGnEM1UpPTng3y9iq,21 Savage,Key
5,The Slaughter Tape,Slaughter Ya Daughter,0ikF7YGnEM1UpPTng3y9iq,21 Savage,ILOVEMAKONNEN
6,The Slaughter Tape,Drip,0Qxo9U5lhJBXSMkjx1nuzm,21 Savage,NA
7,The Slaughter Tape,Out the Bowl,6IdFmILKYNfeZW9LYE4jhM,21 Savage,Key
8,The Slaughter Tape,Drinkin and Driving,0xJ6waQuwURRV21Dk13OTG,21 Savage,NA
9,The Slaughter Tape,Start Dyin,5W9lZvCYgDESkJrO9pquwX,21 Savage,Offset
10,The Slaughter Tape,Fuckin Niggaz Bitches,0x33D0zzfOILljMVr54RWs,21 Savage,Key
10,The Slaughter Tape,Fuckin Niggaz Bitches,0x33D0zzfOILljMVr54RWs,21 Savage,ILOVEMAKONNEN
11,The Slaughter Tape,Million Dollar Liq,0cmp9n5Wsls5MsasGAQqs6,21 Savage,ManMan Savage
12,The Slaughter Tape,Seeing Double,1jrhaPfJO5Ptp65bOvowI2,21 Savage,NA
13,The Slaughter Tape,Heart So Cold,1IuLSY7riq1V1miGpKAGlr,21 Savage,NA
14,The Slaughter Tape,Woah,3wrrgR3oLdbvzcKoKoxyDQ,21 Savage,NA
15,Slaughter King,Lord Forgive Me,2DtqYVY9L3m7yvUvra7Ge6,21 Savage,Key
15,Slaughter King,Lord Forgive Me,2DtqYVY9L3m7yvUvra7Ge6,21 Savage,ILOVEMAKONNEN
16,Slaughter King,Dirty K,5jzICnPx3GiVD2FzvUhP1T,21 Savage,NA
17,Slaughter King,Front Door,3QfT6j50zHZLPrl5skf9mX,21 Savage,NA
18,Slaughter King,Wow,4C61YwZyiVfzrh8walv04F,21 Savage,NA
19,Slaughter King,Slime,00WFoR7tPga5Wj92MSR3eD,21 Savage,NA
20,Slaughter King,Mind Yo Business,4tUHRIoPI8YiOsNOUrTomJ,21 Savage,Key
20,Slaughter King,Mind Yo Business,4tUHRIoPI8YiOsNOUrTomJ,21 Savage,ILOVEMAKONNEN
21,Slaughter King,No Peace,3ZFYvE2CoxAKCs5O5DFkXA,21 Savage,NA
22,Slaughter King,Dip Dip,3xAXYCtd98G5G0SSJAHtqd,21 Savage,NA
23,Slaughter King,Motorcycle,0xwn1hcwKZEQTaRTLP0PFc,21 Savage,NA
24,Slaughter King,Deserve,0H117ffxP9pOWGffiGCY3L,21 Savage,NA
25,Slaughter King,Partments,2eq9aw5ZZIuRswW9fy5PKE,21 Savage,Key
25,Slaughter King,Partments,2eq9aw5ZZIuRswW9fy5PKE,21 Savage,ILOVEMAKONNEN
26,Slaughter King,Vette,0CAugnKxS7xneO9ShRRxuY,21 Savage,NA
27,Slaughter King,Bitch Nigga Please,44TMQoBzzvSPhOouSxiBdT,21 Savage,NA
28,Slaughter King,Help Me,6BNymc6C7PlRwBzgZBm5dk,21 Savage,NA
29,Savage Mode,No Advance,2kE82JhBcoS7mimFO1SqqX,21 Savage,Metro Boomin
30,Savage Mode,No Heart,4gmmRb6bZJffOOiww1JGTO,21 Savage,Metro Boomin
31,Savage Mode,X (feat. Future),6fwdbPMwP1zVStm8FybmkO,21 Savage,Metro Boomin
31,Savage Mode,X (feat. Future),6fwdbPMwP1zVStm8FybmkO,21 Savage,Future
32,Savage Mode,Savage Mode,52hRcWmjRNFuVJv3Qi7EeF,21 Savage,Metro Boomin
33,Savage Mode,Bad Guy,5TvdhNXoHbeGeWtjCYhFuy,21 Savage,Metro Boomin
34,Savage Mode,Real Nigga,5V57eUQoTrMCZqonhzi8B9,21 Savage,Metro Boomin
35,Savage Mode,Mad High,6hEHxpZpvZwt1v4NoGwjKr,21 Savage,Metro Boomin
36,Savage Mode,Feel It,4ujX9kC3UUp26MG0tPhUCz,21 Savage,Metro Boomin
37,Savage Mode,Ocean Drive,1UyLFPOIG7E1OfamPQLOfD,21 Savage,Metro Boomin
38,21 Gang,21 Way,01wBU8gh3tybWjn93SHIJN,21 Savage,NA
39,21 Gang,Soda,3bF50qEQ6NTDdgCgABHVFx,21 Savage,NA
40,21 Gang,Hollow Tips,0Hk7amXjyHeo5YZhHUXWU2,21 Savage,Key
40,21 Gang,Hollow Tips,0Hk7amXjyHeo5YZhHUXWU2,21 Savage,ILOVEMAKONNEN
41,21 Gang,Oh Ok,5beLuWMavZJ7Bha5VPrHdk,21 Savage,NA
42,21 Gang,Never Had Sh*t (feat. Lil' Duke),3GmBnV5gEEj6LlOFVrPfMk,21 Savage,Lil' Duke
43,21 Gang,First Night (feat. Jose Guapo),3G2FoP20eI9wAEIc5OxP4g,21 Savage,Jose Guapo
44,21 Gang,Extendo,2gBqKtYA1O7eX3Y9bxpARz,21 Savage,NA
45,21 Gang,Rollies,7kcXR4Hxu0lGYjahXEfo8c,21 Savage,Key
45,21 Gang,Rollies,7kcXR4Hxu0lGYjahXEfo8c,21 Savage,ILOVEMAKONNEN
46,21 Gang,It's Sold,1ed4bDcCfrVAfZ3ueyhL2l,21 Savage,NA
47,21 Gang,"Whoa (feat. Lotto Savage, Lil' Harold)",5aaHgrM0UIXcFzw7GQa5rF,21 Savage,Lotto Savage
47,21 Gang,"Whoa (feat. Lotto Savage, Lil' Harold)",5aaHgrM0UIXcFzw7GQa5rF,21 Savage,Lil Harold
48,21 Gang,I'm A Savage (feat. Young Nudy),7Jb1SDdII8FH4lTAAEVmD2,21 Savage,Young Nudy
49,21 Gang,Feel Like Nino,6NRQ6V36BhSrJqYY0qYeQ6,21 Savage,NA
50,21 Gang,Start Firing,3IFYc9M9Q0imVeSGk8aCOS,21 Savage,Key
50,21 Gang,Start Firing,3IFYc9M9Q0imVeSGk8aCOS,21 Savage,ILOVEMAKONNEN
51,21 Gang,How To Ball,34n4eHX5XJvkxmQ9nirqWs,21 Savage,NA
52,21 Gang,Organized Crime (feat. Bullet),1jL90c5kTRQDCQtdernS4r,21 Savage,Bullet
53,21 Gang,"Drippin' (feat. Lil Yachty, Sauce Walka)",22g0Xz4HuIFdvfrB7ij9Zx,21 Savage,Lil Yachty
53,21 Gang,"Drippin' (feat. Lil Yachty, Sauce Walka)",22g0Xz4HuIFdvfrB7ij9Zx,21 Savage,Sauce Walka
54,21 Gang,Trappin Out,6CJgavuBeyumzU1xbcE6vw,21 Savage,NA
55,21 Gang,Gotta Get That Check,3haREwd89NvPKquFNtx6Kl,21 Savage,Key
55,21 Gang,Gotta Get That Check,3haREwd89NvPKquFNtx6Kl,21 Savage,ILOVEMAKONNEN
56,21 Gang,"Who Ya Gang (feat. Hardo, Jimmy Wopo)",3qiCMx4PTadmEu2CEzNUHN,21 Savage,Hardo
56,21 Gang,"Who Ya Gang (feat. Hardo, Jimmy Wopo)",3qiCMx4PTadmEu2CEzNUHN,21 Savage,Jimmy Wopo
57,21 Gang,Blasphemy (feat. Hardo),0Q6P1ZJVTjoaLb9xLeT01m,21 Savage,Hardo
58,21 UZI,Changed My Phone (feat. Lil Uzi Vert & Gucci Mane),6hxxcVhcNNQMjRO8RvODUY,21 Savage,Gucci Mane
58,21 UZI,Changed My Phone (feat. Lil Uzi Vert & Gucci Mane),6hxxcVhcNNQMjRO8RvODUY,21 Savage,Lil Uzi Vert
59,21 UZI,Neck Shine (feat. Lil Yachty),2n0xvH6ROAhxwfgUGTqvKJ,21 Savage,Lil Yachty
60,21 UZI,In 04 (feat. Lil Uzi Vert & Gucci Mane),4Tzo85Yre7kM0hQblx12zv,21 Savage,Gucci Mane
60,21 UZI,In 04 (feat. Lil Uzi Vert & Gucci Mane),4Tzo85Yre7kM0hQblx12zv,21 Savage,Lil Uzi Vert
61,21 UZI,BullS**t,5qil2rgPKiVvnTiRQwL0YZ,21 Savage,NA
62,21 UZI,Blonde Brigitte (feat. Lil Uzi Vert),3sVx8wYXDgpynRtuB4iK8r,21 Savage,Lil Uzi Vert
63,21 UZI,NB,4pSV2tBkpwwQ8KHzRGts2K,21 Savage,NA
64,21 UZI,Secure The Bag,4jCRZFcYhzCqHeoGPtrIUr,21 Savage,Lil Uzi Vert
65,21 UZI,Flexing,2E7zXb2sFbfQB9E4C0CDF5,21 Savage,Key
65,21 UZI,Flexing,2E7zXb2sFbfQB9E4C0CDF5,21 Savage,ILOVEMAKONNEN
66,21 UZI,Threesome (feat. Lil Uzi Vert & Gucci Mane),62rdDg0N3tlKnX6YmFfdi6,21 Savage,Gucci Mane
66,21 UZI,Threesome (feat. Lil Uzi Vert & Gucci Mane),62rdDg0N3tlKnX6YmFfdi6,21 Savage,Lil Uzi Vert
67,21 UZI,Fresh (feat. Lil Uzi Vert & Gucci Mane),0XY6shG5KyrjKY8SPlZfiH,21 Savage,Gucci Mane
67,21 UZI,Fresh (feat. Lil Uzi Vert & Gucci Mane),0XY6shG5KyrjKY8SPlZfiH,21 Savage,Lil Uzi Vert
68,21 UZI,MJ 23,6pt5PWfVTT3pzg8lsVFowl,21 Savage,NA
69,Issa Album,Bank Account,2fQrGHiQOvpL9UgPvtYy6G,21 Savage,NA
70,Issa Album,Numb,1vc2YF7ZvUtwr45HNpdGch,21 Savage,Key
70,Issa Album,Numb,1vc2YF7ZvUtwr45HNpdGch,21 Savage,ILOVEMAKONNEN
71,Issa Album,FaceTime,55GLc4nywcX4aIlOcx1u06,21 Savage,NA
72,Issa Album,Bad Business,5ZIZgRrrDj60O0F5oA9bVz,21 Savage,NA
73,Issa Album,Whole Lot,2aNdXtCtyoB2KrUh7pJYxO,21 Savage,NA
74,Issa Album,Close My Eyes,1mxC48728CxBA7WdKw6nFB,21 Savage,NA
75,Issa Album,Special,6QMlELXFU07NLdqv3DGNPI,21 Savage,Key
75,Issa Album,Special,6QMlELXFU07NLdqv3DGNPI,21 Savage,ILOVEMAKONNEN
76,Issa Album,Baby Girl,3rBwHfVPzmfR3ZVSliB0Om,21 Savage,NA
77,Issa Album,Thug Life,0mhsw7HRwRwF79ES5ucP9Y,21 Savage,NA
78,Issa Album,Famous,6g0TAJ1grweRwBMLQyiZFb,21 Savage,NA
79,Issa Album,Dead People,74BIr8H03lr5L6LZ1friIa,21 Savage,NA
80,Issa Album,7 Min Freestyle,5aZrmUOr1kL5U6cg0WZNyw,21 Savage,Key
80,Issa Album,7 Min Freestyle,5aZrmUOr1kL5U6cg0WZNyw,21 Savage,ILOVEMAKONNEN
81,Issa Album,Money Convo,54i1CQFlT3LeGdIVctDQp1,21 Savage,NA
82,Issa Album,Nothin New,1szcZMcUlPjCItP4xNIU3E,21 Savage,NA
83,Without Warning,Ghostface Killers,5u6vkDnOyaf8LsteDAj2ub,21 Savage,Offset
83,Without Warning,Ghostface Killers,5u6vkDnOyaf8LsteDAj2ub,21 Savage,Metro Boomin
83,Without Warning,Ghostface Killers,5u6vkDnOyaf8LsteDAj2ub,21 Savage,Travis Scott
84,Without Warning,Rap Saved Me,0tdCy39PgWN8LFWu34ORn3,21 Savage,Offset
84,Without Warning,Rap Saved Me,0tdCy39PgWN8LFWu34ORn3,21 Savage,Metro Boomin
84,Without Warning,Rap Saved Me,0tdCy39PgWN8LFWu34ORn3,21 Savage,Quavo
85,Without Warning,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,21 Savage,Metro Boomin
86,Without Warning,My Choppa Hate Niggas,2D2w9943rsnJOGCrI4aMQp,21 Savage,Metro Boomin
87,Without Warning,Nightmare,7LAhKXDNWwq3CmnFP3UIOP,21 Savage,Metro Boomin
88,Without Warning,Mad Stalkers,6HR1z11h0ROUlWP4Kx8Z7G,21 Savage,Offset
88,Without Warning,Mad Stalkers,6HR1z11h0ROUlWP4Kx8Z7G,21 Savage,Metro Boomin
89,Without Warning,Disrespectful,3oxCefEI6Tc6Z6t20J4IvH,21 Savage,Offset
89,Without Warning,Disrespectful,3oxCefEI6Tc6Z6t20J4IvH,21 Savage,Metro Boomin
90,Without Warning,Run Up the Racks,7vbjH8laThXpcBXeLNPm3M,21 Savage,Metro Boomin
91,Without Warning,Still Serving,6m6Oy3F6GG0zRwH03rWmTv,21 Savage,Offset
91,Without Warning,Still Serving,6m6Oy3F6GG0zRwH03rWmTv,21 Savage,Metro Boomin
92,Without Warning,Darth Vader,7vg47qMIEdLfNdTE3WLf0T,21 Savage,Offset
92,Without Warning,Darth Vader,7vg47qMIEdLfNdTE3WLf0T,21 Savage,Metro Boomin
93,i am > i was,a lot,2t8yVaLvJ0RenpXUIAC52d,21 Savage,NA
94,i am > i was,break da law,5ZSIExfQuVv69tw5Qw3yDl,21 Savage,NA
95,i am > i was,a&t,6ho88pvz4c8WCSFbdVXNia,21 Savage,Key
95,i am > i was,a&t,6ho88pvz4c8WCSFbdVXNia,21 Savage,ILOVEMAKONNEN
96,i am > i was,out for the night,0ZKKJTv21zJpNrKiL0LYyV,21 Savage,NA
97,i am > i was,gun smoke,4f1XXGjZZ9EkFkrbPJek6X,21 Savage,NA
98,i am > i was,1.5,2wOXxtHZgRkkrkEbKLzzqs,21 Savage,NA
99,i am > i was,all my friends,4paAidoE8VAemwU4jgCc6l,21 Savage,NA
100,i am > i was,can't leave without it,0hPLZrnDgtKxrym1BHjDhd,21 Savage,Key
100,i am > i was,can't leave without it,0hPLZrnDgtKxrym1BHjDhd,21 Savage,ILOVEMAKONNEN
101,i am > i was,asmr,2QgfDF0fQ4sskDthP8MG5w,21 Savage,NA
102,i am > i was,ball w/o you,50a8bKqlwDEqeiEknrzkTO,21 Savage,NA
103,i am > i was,good day,2LqoYvMudv9xoTqNLFKILj,21 Savage,NA
104,i am > i was,pad lock,5stbfxsPi8gcOH2LCuA4Le,21 Savage,NA
105,i am > i was,monster,2FUNBaa5DwItJtYEBgAblU,21 Savage,Key
105,i am > i was,monster,2FUNBaa5DwItJtYEBgAblU,21 Savage,ILOVEMAKONNEN
106,i am > i was,letter 2 my momma,55xNjVrGJxgqcEFqCyejTM,21 Savage,NA
107,i am > i was,4L,1uULQtJ8rbsX5TwjPpPc9Q,21 Savage,NA
108,2Pacalypse Now,Young Black Male,5hNOICzhequtUXSM0N7jPB,2Pac,NA
109,2Pacalypse Now,Trapped,1SIwEtA6vOapGw7fA7T9Gy,2Pac,NA
110,2Pacalypse Now,Soulja's Story,4UDDBs5xjjm6oALxw9S9xx,2Pac,Key
110,2Pacalypse Now,Soulja's Story,4UDDBs5xjjm6oALxw9S9xx,2Pac,ILOVEMAKONNEN
111,2Pacalypse Now,I Don't Give A Fuck,2EMauqGtcQBe2WpALvKh3j,2Pac,NA
112,2Pacalypse Now,Violent,3DL6PGdcnpn7j5ofFyV7Vv,2Pac,NA
113,2Pacalypse Now,Words Of Wisdom,0FNt0zNJT1JNnSIe8LqYxh,2Pac,NA
114,2Pacalypse Now,Something Wicked,6fWfEtd3vk6nMWnXgh3GYd,2Pac,NA
115,2Pacalypse Now,Crooked Ass Nigga,4FLJ0F7XddDuviTNKQMQai,2Pac,Key
115,2Pacalypse Now,Crooked Ass Nigga,4FLJ0F7XddDuviTNKQMQai,2Pac,ILOVEMAKONNEN
116,2Pacalypse Now,If My Homie Calls,0iX6mzHk8O0ydBnQJOX9wB,2Pac,NA
117,2Pacalypse Now,Brenda's Got A Baby,791YTMSeD7SPGWHLIe61ew,2Pac,NA
118,2Pacalypse Now,Tha' Lunatic,30FkHoHz3MA2oBtOcVEBEm,2Pac,NA
119,2Pacalypse Now,Rebel Of The Underground,56sNhTYp0mGC1cXaagTNv1,2Pac,NA
120,2Pacalypse Now,Part Time Mutha,6zpaz2y4g2BXRNatfgmS2Z,2Pac,Key
120,2Pacalypse Now,Part Time Mutha,6zpaz2y4g2BXRNatfgmS2Z,2Pac,ILOVEMAKONNEN
