artist_name,album_name,track_uri,track_name,feature,track_popularity,album_uri,artist,release_date,artist_uri
21 Savage,i am > i was (Deluxe),3WXJOVqIyZKSkdLa82PF0L,a lot,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),1SHei85qV8JtytFwJq3MkF,break da law,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),4oP8NxbTOEUaQ3jwddewmu,a&t,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),51w3e5PWpRCus9wpkVLIwc,out for the night,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),1VXVS7GZN9yfbzaWcWq2eo,gun smoke,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),2rjbWlEDTx4tfajRaMs8Fw,1.5,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),0lf7CfXZnvX7LnqL2q8FNB,all my friends,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),1nbYiPgDJ4T3t46Is5Zc26,can't leave without it,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),4FQaMaxFgIMX1Wg5wYKMRi,asmr,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),4UW4GsTVETXP2mzXfMT2iC,ball w/o you,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),4xKn7ETAkXUQBTuueJM3Ri,good day,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),5j8sYRvWdZM8TgVJXYad1B,pad lock,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),27gIYiauwut951G7lpt9Zr,monster,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),4y66YZn8Bopcsumft1r39M,letter 2 my momma,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),41EKwqBy5rPsjxIWXAkobc,4L,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,i am > i was (Deluxe),4B8vU5oDXVxO5OkLAI4aLx,out for the night - part 2,"NA",16,6guJZpZ52v4MrJKIH7tASl,21 Savage,2018-12-24,1URnnhqYAYcrqrcwql10ft
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),00KjOnN3U40e3lXFUOue7h,10AM/Save The World (feat. Gucci Mane),Gucci Mane,16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
21 Savage,NOT ALL HEROES WEAR CAPES (Deluxe),6LyAwkJsHlW7RQ8S1cYAtM,Overdue (with Travis Scott),Travis Scott,16,3IO8IPjwXuzPJnoaqkwYrj,21 Savage,2018-11-06,1URnnhqYAYcrqrcwql10ft
