artist_name,artist_uri,genres,artist_followers
21 Savage,1URnnhqYAYcrqrcwql10ft,"atl hip hop, pop rap, rap, trap",7315367
2Pac,1ZwdS5xdxEREPySFridCfh,"g funk, gangster rap, hip hop, rap, west coast rap",7656183
50 Cent,3q7HBObVc0L8jNeTe5Gofh,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",5763738
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,"alternative hip hop, conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, jazz rap, queens hip hop, rap",1119715
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,"hip hop, pop rap, rap, southern hip hop, trap, underground hip hop",2247639
A$AP Mob,7yO4IdJjCEPz7YgZMe25iS,"hip hop, rap, southern hip hop, trap, vapor trap",1274997
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,"east coast hip hop, hip hop, pop rap, rap, trap",6407685
Ab-Soul,0g9vAlRPK9Gt3FKCekk4TW,"alternative hip hop, conscious hip hop, hip hop, rap, southern hip hop, underground hip hop",631036
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,escape room,1306887
Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP,"alternative hip hop, conscious hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop",553675
Black Star,67ei8ib6PLT1w3OkhIb4fB,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop",220649
BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,"boy band, hip hop, pop, rap",1183998
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,"pop, pop rap, r&b, rap, trap",3860346
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,"chicago rap, conscious hip hop, hip hop, pop rap, rap",4600501
Chief Keef,15iVAtD3s3FsQR4w1v6M0P,"chicago drill, chicago rap, drill, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop, vapor trap",1895304
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,"atl hip hop, hip hop, pop rap, rap",5840646
Clipse,2J257euzcjnDLipsyJH3F2,"alternative hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop, trap",192250
Common,2GHclqNVjqGuiE5mA7BEoc,"alternative hip hop, chicago rap, conscious hip hop, gangster rap, hip hop, neo soul, rap, southern hip hop",573417
Danny Brown,7aA592KWirLsnfb5ulGWvU,"alternative hip hop, detroit hip hop, escape room, hip hop, rap, underground hip hop",491730
Death Grips,5RADpgYLOuS2ZxDq7ggYYH,"alternative hip hop, escape room, experimental hip hop, hip hop, noise pop",414525
Denzel Curry,6fxyWrfmjcbj5d12gXeiNV,"dark trap, drill, hip hop, miami hip hop, pop rap, rap, trap, underground hip hop",1113499
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,"g funk, gangster rap, hip hop, rap, west coast rap",4727158
Drake,3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap",43979174
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,"alternative hip hop, escape room, experimental hip hop, hip hop, rap, underground hip hop",1098833
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop, g funk, hip hop, rap",32196374
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop",5207188
Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,"alternative hip hop, escape room, hip hop, rap, southern hip hop, underground hip hop",411414
Future,1RyvyyTE3xzB2ZywiAwp0i,"atl hip hop, pop rap, rap, southern hip hop, trap",8281118
Ghostface Killah,6FD0unjzGQhX3b6eMccMJe,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop",477236
GZA,6ns6XAOsw4B0nDUIovAOUO,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop",254361
Isaiah Rashad,6aaMZ3fcfLv4tEbmY7bjRM,"hip hop, rap, underground hip hop",639107
J Dilla,0IVcLMMbm05VIjnzPkGCyp,"alternative hip hop, detroit hip hop, hip hop",349833
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,"conscious hip hop, hip hop, nc hip hop, pop rap, rap",10094515
JID,6U3ybJ9UHNKEdsH7ktGBZ7,"hip hop, rap, underground hip hop",449392
Jay Rock,28ExwzUQsvgJooOI0X1mr3,"conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop",749411
Joey Bada$$,2P5sC9cVZDToPxyomzF1UH,"conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop",1594609
JPEGMAFIA,6yJ6QQ3Y5l0s0tn7b0arrO,"alternative hip hop, escape room, experimental hip hop, hip hop, rap, underground hip hop",179770
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, rap",11037077
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"conscious hip hop, hip hop, pop rap, rap, west coast rap",13872129
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,"hip hop, pop rap, rap",3458757
KIDS SEE GHOSTS,2hPgGN4uhvXAxiXQBIXOmE,"hip hop, pop rap, rap",427284
Killer Mike,2N4EYkIlG1kv25g6Wv8LGI,"alternative hip hop, atl hip hop, conscious hip hop, escape room, southern hip hop",169676
Lil Pump,3wyVrVrFCkukjdVIdirGVY,"emo rap, miami hip hop, rap, trap",6406380
Lil Ugly Mane,2gPLG9mGaU67woC5L0luYA,"alternative hip hop, escape room, phonk, underground hip hop",42322
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"melodic rap, philly rap, pop rap, rap, trap",7635993
Lil Wayne,55Aa2cqylxrFIXC767Z865,"hip hop, new orleans rap, pop rap, rap, trap",8612090
Lil Yachty,6icQOAFXDZKsumw3YXyusw,"atl hip hop, hip hop, melodic rap, pop rap, rap, southern hip hop, trap, underground hip hop",5836760
Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,"chicago rap, conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop",1301431
Mac Miller,4LLpKhyESsyAXpc4laK94U,"hip hop, pittsburgh rap, pop rap, rap",3894563
Madvillain,2aoFQUeHD1U7pL098lRsDU,"alternative hip hop, hip hop, rap, southern hip hop, underground hip hop",247156
Meek Mill,20sxb77xiYeusSH8cVdatc,"hip hop, philly rap, pop rap, rap, southern hip hop, trap",3848143
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap",1401760
MF DOOM,2pAWfrd7WFF3XhVt9GooDL,"alternative hip hop, east coast hip hop, hardcore hip hop, hip hop, rap",519736
Mick Jenkins,1FvjvACFvko2Z91IvDljrx,"chicago rap, conscious hip hop, drill, escape room, hip hop, rap, underground hip hop",340733
Migos,6oMuImdp5ZcFhWP0ESe6mG,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap",9906005
Mobb Deep,6O2zJ0tId7g07yzHtX0yap,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",963600
Mos Def,0Mz5XE0kb1GBnbLQm2VbcO,"alternative hip hop, conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop",792775
N.W.A.,4EnEZVjo3w1cwcQYePccay,"conscious hip hop, gangster rap, hardcore hip hop, hip hop, old school hip hop, rap, west coast rap",2706861
Nas,20qISvAhX20dpIbOOzGK3q,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",1787109
Noname,1EpyA68dKpjf7jXmQL88Hy,"alternative r&b, chicago rap, escape room, hip hop, indie soul, rap",396740
Nujabes,3Rq3YOF9YG9YfCWD4D56RZ,"chillhop, downtempo, japanese chillhop, jazz rap",385453
OutKast,1G9G7WwrXka3Z1r7aIDjI7,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop",1257405
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,"atl hip hop, hip hop, rap, trap, underground hip hop",3053460
Post Malone,246dkjvS1zLTtiykXe5h60,"dfw rap, melodic rap, rap",21593090
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop",1541054
Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,"hip hop, melodic rap, pop rap, rap, southern hip hop, trap",5537718
Raekwon,2yQf6b8hxahZaT5dHlWaB1,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop",343722
Rich Gang,6h2J3dxLnTyURwIUBumKog,"pop rap, rap, southern hip hop, trap",657442
Run The Jewels,4RnBFZRiMLRyZy0AzzTg2C,"alternative hip hop, escape room, hip hop",614635
ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,"hip hop, pop rap, rap, southern hip hop, trap, underground hip hop",2926309
ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,"hip hop, pop rap, rap, southern hip hop, trap, underground hip hop",2926309
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,"g funk, gangster rap, hip hop, rap, west coast rap",5469499
SZA,7tYKF4w9nC0nq9CsPZTHyP,"alternative r&b, pop, pop rap, rap",3040446
The Game,0NbfKEOTQCcwd6o7wSDOHI,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap",2384258
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",4756719
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop",18415619
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,rap,7697676
