album_uri,album_name,artist,release_date,album_type,remove,notes,index_to_split,groups_to_split
5wAxg9WI7FVyNnFzjj0U8B,The Art of Making Love and War,Solomon Childs,1/1/08,album,0,NA,5417,9
1r5LnrJUR4j81szHfmqZEB,The Only Way,Solomon Childs,11/12/19,album,0,NA,5418,9
6svkljlhoFCku5tB1gauXO,The Wake,Solomon Childs,1/1/08,album,0,NA,5419,9
7wmdQbOTDlF0Ocis01pS9M,The Young General,Solomon Childs,1/1/08,album,0,NA,5420,9
4e9YupjycruM9btKo3yYx9,Wu-Tang 4 Life,Solomon Childs,1/1/08,album,0,NA,5421,9
10w1MmGqF4ARekWROkXkAk,Wu-Tang 4 Life 3,Solomon Childs,11/12/13,album,0,NA,5422,9
3PG71H5TQIAd2JNBtAEQVE,"Wu-Tang 4 Life, Vol. 2",Solomon Childs,3/5/13,album,0,NA,5423,9
7HeGSuAgHhTozGilUSondp,Wu-Tang Bbq,Solomon Childs,8/23/19,album,0,NA,5424,9
2nQpAvfXHPq56yZC7kz9Ge,Your Dreams,Solomon Childs,9/3/19,album,0,NA,5425,9
3OeKo1kDVqWt3uowX79JuE,The Prophet and the King,"Solomon Childs, Tone Spliff",12/14/18,album,0,NA,5426,9
7rM4ENUclJqhsGKryKAoKB,Best Kept Secret,Soopafly,8/30/11,album,0,NA,5427,9
3MDdnPb1HIqK4vDkQguUDl,Dat Whoopty Woop (Digitally Remastered),Soopafly,4/29/14,album,0,NA,5428,9
1CIRHryWW90sT8hyWEk9UJ,Dat Woopty Woop,Soopafly,7/31/01,album,0,NA,5429,9
28WPsFFfirtiMIyY4autl4,Gotta Get This Money,Soopafly,3/10/09,album,0,NA,5430,9
0mDtujqD98EvyMSHIrAFCd,Uz A Tricc! (Feat. Tha Deaco),Soopafly,6/16/09,album,0,NA,5431,9
41ZoDHKaxUqvaS6EVLwvvy,Dior,Sosamann,4/12/19,album,0,NA,5432,9
5HvNiuYicrPZlZm4ImV4Ah,Drip Nation,Sosamann,6/1/18,album,0,NA,5433,9
0MR83ja8umg16ItApHshL5,Good Day,Sosamann,11/23/17,album,0,NA,5434,9
2OUsMSHHZ3bfaqJVJ1scCo,High You Feeling,Sosamann,8/1/18,album,0,NA,5435,9
4Bkyfz6Ki1YcNhaPVKlPJF,In the Lobby,Sosamann,3/9/18,album,0,NA,5436,9
4vrHK2bBlCHXkDkAozoOQS,Just Do It,Sosamann,1/31/17,album,0,NA,5437,9
6BB3Mnhv70usTjuzjfOywQ,Light Bulb (feat. Sauce Walka),Sosamann,3/23/18,album,0,NA,5438,9
4Kxmtz051j8sFuVnR1ozLW,Ride or Die,Sosamann,10/16/18,album,0,NA,5439,9
2EsTfxmFPs3EyMq8k7SDk6,Right One,Sosamann,9/1/19,album,0,NA,5440,9
5VkfGmLIsCAZiR7PrwE7Wn,Sauce Eskobar,Sosamann,4/27/16,album,0,NA,5441,9
43E7H27WWC7hclIH1KQXxw,Sauce Eskobar 2,Sosamann,1/4/19,album,0,NA,5442,9
416cDRQvluj3tXs9KQruCP,Sauce Savage,Sosamann,1/18/17,album,0,NA,5443,9
3cYLMuTdsKmafMKg09iusU,Sauce the World,Sosamann,6/2/17,album,0,NA,5444,9
7cfV0EywqTEHCCOyCx8PRQ,See the Hate,Sosamann,4/12/17,album,0,NA,5445,9
0J1W130LX8qtbbNlGxwI6v,Trap Sauce : The Album,Sosamann,9/27/19,album,0,NA,5446,9
2PaR2V1EP8XIcmL1VW16i1,Trap'd Out 2,Sosamann,2/17/15,album,0,NA,5447,9
5zCarUpd81smVWLjpDzmSj,Who I Am (Feat. NBA Youngboy),Sosamann,3/15/19,album,0,NA,5448,9
2wcpxTSaJBgnxQeSL1uiR6,Best to Ever Do It,Soulja Boy,7/6/18,album,0,NA,5449,9
1sqtWROuh8hWJKLKzaPyLe,Better Late Than Never,Soulja Boy,6/9/16,album,0,NA,5450,9
1psiYCpwkujtgq2iQAZJ8m,Big Soulja,Soulja Boy,2/20/17,album,0,NA,5451,9
1qdzBfLfnrAqZZaAG4xsXg,King Soulja 3,Soulja Boy,7/29/14,album,0,NA,5452,9
4xs2ih3mZ2nZZO2MDLafXP,King Soulja 4,Soulja Boy,7/30/15,album,0,NA,5453,9
