track_artists,album_name,track_uri,track_name,track_popularity
Trippie Redd,A Love Letter To You 2,3vWxQ6wOfMr8zH1u7pVFI6,Bust Down,64
"Trippie Redd, Khalil, Cydnee with a C",A Love Letter To You 2,2oEO8hubdLxitXybAPQWWD,Feel Good,51
Trippie Redd,A Love Letter To You 2,7KrkTrZfPhgXelA3NvDMkE,In Too Deep,57
"Trippie Redd, Antionia",A Love Letter To You 2,2XFP42EK7jg4bGHYXRcxV3,Deadman's Wonderland,51
"Trippie Redd, Bali Baby",A Love Letter To You 2,70NxaxjB8IjX4YxXbT90iX,Woah Woah Woah,53
"Trippie Redd, Chris King, Cydnee with a C",A Love Letter To You 2,7Juu32WsD2Spqg8xdPuHlK,Back of My Mind,49
"Trippie Redd, UnoTheActivist",A Love Letter To You 2,5bNrUcuk5gjy6Ko2dbfWhZ,Today,52
Trippie Redd,A Love Letter To You 2,61ewCnrCtMcEeO0QnLfa3Y,Hellboy,55
Trippie Redd,A Love Letter To You 2,7fPEDLQlJgsuG7i5cxwjHT,Back Back Back,42
"Trippie Redd, Rocket Da Goon, Chris King",A Love Letter To You 2,55miO4EjexeuoCWya2zNo7,Dangerous,44
Trippie Redd,A Love Letter To You 2,1KnLtypE8i6HuWMOx7ZmOP,Overweight,47
Trippie Redd,A Love Letter To You 2,3eygeZs2rr9N5QZGwByI4m,Overdose On L1fe,47
Trippie Redd,A Love Letter To You 2,7HlxbxRj9eF9c87cDwLJ4N,I Know How To Self Destruct,44
Trippie Redd,A Love Letter To You 2,3Y9Ozy7bc3lmMCh4mjJFHw,Let Me Down,44
Trippie Redd,A Love Letter To You 3,5aXgz1oKK8Q9z9xvTmSnrO,Topanga,76
"Trippie Redd, Emani 22",A Love Letter To You 3,2lvOt6VAufWlstrqutilVb,Fire Starter,56
Trippie Redd,A Love Letter To You 3,1SxagO9GK0UUeEYLmH8Pln,Toxic Waste,63
"Trippie Redd, Kodie Shane",A Love Letter To You 3,0ZPCxNK4DIrF8KqrN3DxfA,Negative Energy,62
Trippie Redd,A Love Letter To You 3,2dKtWPLZvbCzwLRliNn8UI,Can't Love,65
Trippie Redd,A Love Letter To You 3,0AcicReEGm1qcENjqzh1Tg,Love Scars 3,70
"Trippie Redd, Baby Goth",A Love Letter To You 3,2ppse4DOEFlzaW7Xu3U76r,A.L.L.T.Y. 3,55
"Trippie Redd, Emani 22",A Love Letter To You 3,4aVQevcrgVDwqtRujqZrui,Emani Interlude,50
"Trippie Redd, YoungBoy Never Broke Again, Nel-Denarro",A Love Letter To You 3,5Tp5zlCgbwXLMa3pgYsNMl,Elevate & Motivate,57
Trippie Redd,A Love Letter To You 3,7uenITonAmg7wXmFd3kkms,I Tried Loving,61
Trippie Redd,A Love Letter To You 3,5iAyI5SlSs1hyWOQeBXvab,Wicked,56
Trippie Redd,A Love Letter To You 3,284fVGdbsPtigjjI0jmKXo,Loyalty Before Royalty,59
"Trippie Redd, Juice WRLD",A Love Letter To You 3,75lcPkAkUsKWHGBlGM476R,1400 / 999 Freestyle,79
Trippie Redd,A Love Letter To You 3,73pDDTXW6SKqM52N4Rdred,So Alive,55
"Trippie Redd, Tory Lanez, Elliott Trent",A Love Letter To You 3,6bKUUSlzDua0gt0g13OKqw,Diamond Minds,58
Trippie Redd,A Love Letter To You 3,3prLqweRlHjmdsycz41cRh,Camp Fire Tale,53
Trippie Redd,A Love Letter To You 4,6GivWRmlYtefJr28jev6e0,Leray,67
Trippie Redd,A Love Letter To You 4,2ktxr00GpTtbMNeBjNeY8D,Who Needs Love,78
Trippie Redd,A Love Letter To You 4,2PRKaIkl62537yLUt8VhHR,Love Sick,71
Trippie Redd,A Love Letter To You 4,6uYgCE2OEulOw5zhHvZsHf,Love Me More,74
Trippie Redd,A Love Letter To You 4,6Dqja51kHdm93TJGkX7T16,Real Feel,67
"Trippie Redd, Lil Mosey",A Love Letter To You 4,07NMFSwppnky8JyIQIxAQZ,This Ain't That,69
"Trippie Redd, Juice WRLD, YNW Melly",A Love Letter To You 4,7tgjDlQsMR8RvkdlNCJA58,6 Kiss,81
Trippie Redd,A Love Letter To You 4,3Z9vHQOOPvRtOnTPyXLkWD,Til The End of Time,65
"Trippie Redd, Chris King, Quan'ta",A Love Letter To You 4,4hQ6o8ECY5MyHyodnyOHEw,U Deserve It,66
"Trippie Redd, YoungBoy Never Broke Again",A Love Letter To You 4,1FxTz4x5X7ewAICkKhB3kA,Hate Me,73
"Trippie Redd, Smokepurpp",A Love Letter To You 4,01kOu8BA8yzAHx9LUidTi9,All For Me,64
"Trippie Redd, Tory Lanez",A Love Letter To You 4,56S5YTNqlsXSnR5T1S2oyJ,Sickening,64
Trippie Redd,A Love Letter To You 4,1W24W6jQegnNh0x5DfBBPT,The Grinch,72
"Trippie Redd, DaBaby",A Love Letter To You 4,3Kd6Wp3lG5HXMB2dlvuy7y,Death,75
Trippie Redd,A Love Letter To You 4,5e4oAwSsIzkNZxh4fLSKUH,RMP,62
"Trippie Redd, Lil Yachty, Pi’erre Bourne",A Love Letter To You 4,2UUnhLf51JSrji1FAbJ17G,M's,61
"Trippie Redd, Youv Dee",A Love Letter To You 4,39WVsfrPyaLCx04khGj3fN,Bust Down Deux,61
"Trippie Redd, Lil Wop",A Love Letter To You 4,2cSqeOJIaFPEF7N5J7xiIZ,The Jungle Book,64
Trippie Redd,A Love Letter To You 4,1M4pM5XgwxasguJP1dJIC6,Chosen,63
"Trippie Redd, Mariah the Scientist",A Love Letter To You 4,55L35RJDZHEd5kIqz0Umkv,Abandoned,64
Trippie Redd,LIFE'S A TRIP,6m3LlhdZ0HWn4D7Nnm06MQ,Together,59
Trippie Redd,LIFE'S A TRIP,4mHgYpuGHu99Mw69E83CP2,Taking A Walk,75
"Diplo, Trippie Redd",LIFE'S A TRIP,6IpvkngH89cA3hhPC84Leg,Wish - Trippie Mix,73
Trippie Redd,LIFE'S A TRIP,5HnxL39pSgVVQMLP7WnSfv,Missing My Idols,62
"Trippie Redd, Young Thug, Reese LAFLARE",LIFE'S A TRIP,2c3qwFINQyRGwyqI97UQiA,Forever Ever,62
