"","album_uri","album_name","album_img","album_release_date","album_release_year","base_album_name","base_album","num_albums","num_base_albums","album_rank"
"1","3l2umvdEq50qZ5fmw4iHcI","The Slaughter Tape","https://i.scdn.co/image/c48f8f9c335211d226558bab300de3309d018f31","2016-05-15",2016-05-15,"the slaughter tape",TRUE,1,1,1
"2","1HSyuTHvLXMWyPJQGnQTLw","Slaughter King","https://i.scdn.co/image/075314b40a32eb7d3625005eb2fda235b0031da8","2016-05-16",2016-05-16,"slaughter king",TRUE,1,1,2
"3","4I3EcXD4e3KcEoDJfFEZ5b","Savage Mode","https://i.scdn.co/image/404ff23f804534d9266b95bd5a81cb33a1675c00","2016-07-15",2016-07-15,"savage mode",TRUE,1,1,3
"4","4PUFxNR729saTb49K0pQBK","21 Gang","https://i.scdn.co/image/78a6fcff93d9feb73c7fb65f0dc1f261e652ae1b","2016-10-28",2016-10-28,"21 gang",TRUE,1,1,4
"5","6rmP5ImdMFsE0TOseCuG8B","21 UZI","https://i.scdn.co/image/fa5652a24f4ba19ca43f4d985e2736cf7cccedbe","2017-02-17",2017-02-17,"21 uzi",TRUE,1,1,5
"6","4QUNWTw2FsIz722xjUjFJw","Issa Album","https://i.scdn.co/image/c1198389b8aa0fa3ff453e4c7bdc2b1665e70386","2017-09-23",2017-09-23,"issa album",TRUE,1,1,6
"7","0MV1yCXcNNQBfwApqAVkH0","Without Warning","https://i.scdn.co/image/8b75671c743b3200aa273cc25790660f7af9d320","2017-10-30",2017-10-30,"without warning",TRUE,1,1,7
"8","007DWn799UWvfY1wwZeENR","i am > i was","https://i.scdn.co/image/e89fed2244d8ea00f46312790c3a3b9f4092e5a6","2018-12-21",2018-12-21,"i am > i was",TRUE,1,1,8
"9","6GRzmk9UGL7odxprOPop1Q","Mos Def & Talib Kweli Are Black Star","https://i.scdn.co/image/e094a4dea4ae9408a3f1cc8c614e1fa9ebbfe508","1998-09-29",1998-09-29,"mos def & talib kweli are black star",TRUE,1,1,1
"10","6eZdwrhB97A3EYx9QppGfl","T R A P S O U L","https://i.scdn.co/image/1870e3c0e5abc4a58cfbfb8aeaf3b6a57b88eb87","2015-10-02",2015-10-02,"t r a p s o u l",TRUE,1,1,1
"11","7nn2Iaphg0Vc1NCGULkhVo","True to Self","https://i.scdn.co/image/e5a6a35622f78592d8971a5171038f4e526a520c","2017-05-26",2017-05-26,"true to self",TRUE,1,1,2
"12","2B4y3j02ho6XNF8BEzx3JF","Finally Rich","https://i.scdn.co/image/8f2e2d7af9f6d444feb6e2285fc05c67364243a2","2012-01-01",2012-01-01,"finally rich",TRUE,2,1,1
"13","7v4AVMTkuZLfbFrQG8HdJq","Back from the Dead","https://i.scdn.co/image/774f16d6976505a4b2e245b945f659cbfd5da79e","2012-03-14",2012-03-14,"back from the dead",TRUE,1,1,2
"14","0Jumhe6h6GdXwHE0GKBhkV","Brick Squad Soldier","https://i.scdn.co/image/ffc26a281c3ac7035c05525150a7173bd5232657","2013-07-23",2013-07-23,"brick squad soldier",TRUE,1,1,3
"15","7hJKSnNDRZ4UIjjzqaSlx3","Bang Part 2","https://i.scdn.co/image/4f394da7e84136c16e6d30e2799f0506a0278ee9","2013-10-18",2013-10-18,"bang part 2",TRUE,1,1,4
"16","4fmoTjTyfvg19kORQMqhhy","Almighty So","https://i.scdn.co/image/68f34e99f850c4c3be58e5d73f4f70831a3f623a","2013-10-18",2013-10-18,"almighty so",TRUE,1,1,5
"17","3y72a7aFc9T90rStsJ30T1","Young & Flexin","https://i.scdn.co/image/1e282979372da79637988253a8b224b10d39a3cc","2013-10-22",2013-10-22,"young & flexin",TRUE,1,1,6
"18","2srfcgIy1wvsLhD8wd59N6","Chiraq Villian","https://i.scdn.co/image/69fdf05b35b15296050f174c9df8f05947192f16","2014-11-18",2014-11-18,"chiraq villian",TRUE,1,1,7
"19","1yrSQIKpoDBANtaKyI7cQk","Sorry 4 The Weight (Deluxe Edition)","https://i.scdn.co/image/79bb2867aa9d59d5910f92986a9cd3f56ff3d776","2015-03-17",2015-03-17,"sorry 4 the weight",FALSE,1,0,8
