"","album_name","track_name","track_uri"
"1","The Slaughter Tape","Skrrt Skrrt","065LHZtJbXDZNAaQ2wQ5Sd"
"2","The Slaughter Tape","Pimp","3IDT2Uym5rKea8YprYyeBt"
"3","The Slaughter Tape","Gang","4KP63LKrVrEdAK176UJYg8"
"4","The Slaughter Tape","Picky","5BH86QTag2wQ95HSrEGqQX"
"5","The Slaughter Tape","Slaughter Ya Daughter","0ikF7YGnEM1UpPTng3y9iq"
"6","The Slaughter Tape","Drip","0Qxo9U5lhJBXSMkjx1nuzm"
"7","The Slaughter Tape","Out the Bowl","6IdFmILKYNfeZW9LYE4jhM"
"8","The Slaughter Tape","Drinkin and Driving","0xJ6waQuwURRV21Dk13OTG"
"9","The Slaughter Tape","Start Dyin","5W9lZvCYgDESkJrO9pquwX"
"10","The Slaughter Tape","Fuckin Niggaz Bitches","0x33D0zzfOILljMVr54RWs"
"11","The Slaughter Tape","Million Dollar Liq","0cmp9n5Wsls5MsasGAQqs6"
"12","The Slaughter Tape","Seeing Double","1jrhaPfJO5Ptp65bOvowI2"
"13","The Slaughter Tape","Heart So Cold","1IuLSY7riq1V1miGpKAGlr"
"14","The Slaughter Tape","Woah","3wrrgR3oLdbvzcKoKoxyDQ"
"15","Slaughter King","Lord Forgive Me","2DtqYVY9L3m7yvUvra7Ge6"
"16","Slaughter King","Dirty K","5jzICnPx3GiVD2FzvUhP1T"
"17","Slaughter King","Front Door","3QfT6j50zHZLPrl5skf9mX"
"18","Slaughter King","Wow","4C61YwZyiVfzrh8walv04F"
"19","Slaughter King","Slime","00WFoR7tPga5Wj92MSR3eD"
"20","Slaughter King","Mind Yo Business","4tUHRIoPI8YiOsNOUrTomJ"
"21","Slaughter King","No Peace","3ZFYvE2CoxAKCs5O5DFkXA"
"22","Slaughter King","Dip Dip","3xAXYCtd98G5G0SSJAHtqd"
"23","Slaughter King","Motorcycle","0xwn1hcwKZEQTaRTLP0PFc"
"24","Slaughter King","Deserve","0H117ffxP9pOWGffiGCY3L"
"25","Slaughter King","Partments","2eq9aw5ZZIuRswW9fy5PKE"
"26","Slaughter King","Vette","0CAugnKxS7xneO9ShRRxuY"
"27","Slaughter King","Bitch Nigga Please","44TMQoBzzvSPhOouSxiBdT"
"28","Slaughter King","Help Me","6BNymc6C7PlRwBzgZBm5dk"
"29","Savage Mode","No Advance","2kE82JhBcoS7mimFO1SqqX"
"30","Savage Mode","No Heart","4gmmRb6bZJffOOiww1JGTO"
"31","Savage Mode","X (feat. Future)","6fwdbPMwP1zVStm8FybmkO"
"32","Savage Mode","Savage Mode","52hRcWmjRNFuVJv3Qi7EeF"
"33","Savage Mode","Bad Guy","5TvdhNXoHbeGeWtjCYhFuy"
"34","Savage Mode","Real Nigga","5V57eUQoTrMCZqonhzi8B9"
"35","Savage Mode","Mad High","6hEHxpZpvZwt1v4NoGwjKr"
"36","Savage Mode","Feel It","4ujX9kC3UUp26MG0tPhUCz"
"37","Savage Mode","Ocean Drive","1UyLFPOIG7E1OfamPQLOfD"
"38","21 Gang","21 Way","01wBU8gh3tybWjn93SHIJN"
"39","21 Gang","Soda","3bF50qEQ6NTDdgCgABHVFx"
"40","21 Gang","Hollow Tips","0Hk7amXjyHeo5YZhHUXWU2"
"41","21 Gang","Oh Ok","5beLuWMavZJ7Bha5VPrHdk"
"42","21 Gang","Never Had Sh*t (feat. Lil' Duke)","3GmBnV5gEEj6LlOFVrPfMk"
"43","21 Gang","First Night (feat. Jose Guapo)","3G2FoP20eI9wAEIc5OxP4g"
"44","21 Gang","Extendo","2gBqKtYA1O7eX3Y9bxpARz"
"45","21 Gang","Rollies","7kcXR4Hxu0lGYjahXEfo8c"
"46","21 Gang","It's Sold","1ed4bDcCfrVAfZ3ueyhL2l"
"47","21 Gang","Whoa (feat. Lotto Savage, Lil' Harold)","5aaHgrM0UIXcFzw7GQa5rF"
"48","21 Gang","I'm A Savage (feat. Young Nudy)","7Jb1SDdII8FH4lTAAEVmD2"
"49","21 Gang","Feel Like Nino","6NRQ6V36BhSrJqYY0qYeQ6"
"50","21 Gang","Start Firing","3IFYc9M9Q0imVeSGk8aCOS"
"51","21 Gang","How To Ball","34n4eHX5XJvkxmQ9nirqWs"
"52","21 Gang","Organized Crime (feat. Bullet)","1jL90c5kTRQDCQtdernS4r"
"53","21 Gang","Drippin' (feat. Lil Yachty, Sauce Walka)","22g0Xz4HuIFdvfrB7ij9Zx"
"54","21 Gang","Trappin Out","6CJgavuBeyumzU1xbcE6vw"
"55","21 Gang","Gotta Get That Check","3haREwd89NvPKquFNtx6Kl"
