album_uri,album_name,artist,release_date,album_type,remove,notes,index_to_split,groups_to_split
3TChv1e0iqR6t3yAUbeW9S,Street Aint Safe Vol. 3,Fiend,6/30/15,album,0,NA,2032,4
5wTVoRvNET0stges4z9wv4,The Addiction,Fiend,6/27/06,album,0,NA,2033,4
7ExwMagClBMZ5jHzHU6Ug7,The Most,Fiend,2/22/19,album,0,NA,2034,4
21OsIIquHaERn5YNeCew3Q,There's One in Every Family 2,Fiend,5/5/19,album,0,NA,2035,4
6lLCMsvIheYDT2tiNLLM0n,Wall 2 Wall (Remix),"Fiend, 38, Hot Boy Turk",8/2/19,album,0,NA,2036,4
4CbAuaUFyMG6PqkAbGQMe9,Summer League,"Fiend, Corner Boy P",5/1/17,album,0,NA,2037,4
7xaC6bVJqAatWaCj9OossS,Cellophane,FKA twigs,4/24/19,album,0,NA,2038,4
7KbIFEpOqDkCkq2mBUzJuD,EP1,FKA twigs,12/4/12,album,0,NA,2039,4
29TfvskYkqsTpiNkyUYruw,EP2,FKA twigs,9/17/13,album,0,NA,2040,4
5d7ZkBFIdIUKD1zVYl76vy,Good to Love,FKA twigs,2/19/16,album,0,NA,2041,4
3nLiYcMpeEOKzb5TzQcJer,home with you,FKA twigs,10/7/19,album,0,NA,2042,4
5VqGGKeWpIBRFh4M4XmqDK,LP1,FKA twigs,8/12/14,album,0,NA,2043,4
7rSESybi14vAuEVzkipODD,M3LL155X,FKA twigs,8/13/15,album,0,NA,2044,4
2w8Wshbp9RCPJdPU1iOpaY,MAGDALENE,FKA twigs,11/8/19,album,0,NA,2045,4
2cademwJfslSCuNwtUoj9P,sad day,FKA twigs,11/4/19,album,0,NA,2046,4
1hDlZBsaWOz8St9iioQF0y,holy terrain,"FKA twigs, Future",9/9/19,album,0,NA,2047,4
4Qohh8LwXoV7ucmjCU4MYL,3001: A Laced Odyssey,Flatbush Zombies,3/11/16,album,0,NA,2048,4
3vFm6Mdz9IzLMugyXIEOZs,Aries (feat. Deadcuts),Flatbush Zombies,11/15/16,album,0,NA,2049,4
01YrTOpggh1BpOMI6xS5nt,Headstone,Flatbush Zombies,7/17/18,album,0,NA,2050,4
49o0se7P1QNHXkN0dVD4Ao,Lava (feat. Zombie Juice),Flatbush Zombies,7/6/17,album,0,NA,2051,4
7GU53EMnNGAT0ukjJ0WDFX,Monica (feat. Tech N9ne),Flatbush Zombies,12/5/19,album,0,NA,2052,4
4fu25rIwwmMT77lPjdWREr,New World Order,Flatbush Zombies,10/31/18,album,0,NA,2053,4
4U3SJtvQ2RbExdPO4NsoAi,U&I (feat. Dia),Flatbush Zombies,3/20/18,album,0,NA,2054,4
1LLCK8Bx6rN1Oc8biIrtTg,Vacation (feat. Joey Bada$$),Flatbush Zombies,4/5/18,album,0,NA,2055,4
622gmiTAUET3WtAZq8aXtS,Vacation In Hell,Flatbush Zombies,4/6/18,album,0,NA,2056,4
3c24ZR1qf81UYxlqAX5wfV,Michael Jackson,Flavor Flav,5/21/13,album,0,NA,2057,4
0GwEPdUTDGWbqVrYs87K9n,Loyalty & Trust,"Flee Lord, 38 Spesh",8/8/19,album,0,NA,2058,4
0PdnEprxdPrQMNeKbP9QWg,Dreams & Vibrations,"Flex Mathews, Damu The Fudgemunk",5/11/18,album,0,NA,2059,4
4AgennmKnwGzpY8usQKM4J,Dancer,Flo Rida,3/2/18,album,0,NA,2060,4
4Asu7eu8lZtgyR8PFAnFTq,In My Mind Part 3 (feat. Georgi Kay),Flo Rida,9/27/18,album,0,NA,2061,4
58uBx1THjuhOBVKprvzbGn,Mail on Sunday,Flo Rida,3/18/08,album,0,NA,2062,4
1TwNATuAqnNjTd5BSvFZlS,Only One Flo (Part 1),Flo Rida,11/24/10,album,0,NA,2063,4
1O3WPkoASRsSlZrB6gaMO2,R.O.O.T.S. (Route of Overcoming the Struggle),Flo Rida,3/30/09,album,0,NA,2064,4
2SaRh5MzsFdzBJvC3TzVig,Snack (feat. E-40 & Sage The Gemini),Flo Rida,5/24/19,album,0,NA,2065,4
1mVRC7EFi3mzRGBxZoX5GY,Sweet Sensation,Flo Rida,3/30/18,album,0,NA,2066,4
7eLwoxxWs6lfkVYJGkGNbk,Wild Ones,Flo Rida,6/22/12,album,0,NA,2067,4
02ftf7zI3U5fJ5GwyE8JC9,Hola (feat. Maluma),"Flo Rida, Maluma",11/17/17,album,0,NA,2068,4
0duzU1uas5aoOamsPFmkwh,Keep On,"Fonzworth Bentley, Faith Evans",10/5/16,album,0,NA,2069,4
7t8u2wy5tBfVBlf2O68APf,Armageddon,Fred the Godson,11/30/10,album,0,NA,2070,4
2OaHvG2maRL9SDvcgWRVmT,Better Now (feat. Jim Jones & Marc Scibilia),Fred the Godson,10/31/19,album,0,NA,2071,4
6oDVMVo2lUWWBRWHUsvfcF,City of God,Fred the Godson,11/16/11,album,0,NA,2072,4
6chkJBGyChYIO48nawePEv,Contraband,Fred the Godson,3/6/13,album,0,NA,2073,4
1WoqEWf1kMMgiF5FS9TLWw,Fat Boy Fresh,Fred the Godson,3/11/14,album,0,NA,2074,4
5GDCwd7HCgXaLWXABBBlQm,Gordo,Fred the Godson,8/25/17,album,0,NA,2075,4
4NeoL0zfWDgjWlIrzOiasf,Gordo Frederico,Fred the Godson,8/16/12,album,0,NA,2076,4
5VNWnaeF8Eahf1ICAe2305,Retaliation,Fred the Godson,10/16/19,album,0,NA,2077,4
1GaX3a6Hf097KMmRAlLk45,Special Love,Fred the Godson,8/10/18,album,0,NA,2078,4
5AJwRUgUZF1HPTdFjgp3Ln,Training Day,"Fred the Godson, Jay Pharoah",1/10/20,album,0,NA,2079,4
5gbGJg6xgYQOUoF0KeJQf9,Konexion EP,"Freddie Foxxx, Bumpy Knuckles",5/5/03,album,0,NA,2080,4
35HcMPwM050tI1PDsrWhwa,Poetry / Gangstas Again,"Freddie Foxxx, Bumpy Knuckles",11/24/03,album,0,NA,2081,4
