track_artists,album_name,track_uri,track_name,track_popularity
Cozz,Effected,5OAr06c94n3ORwJytObpL4,Questions,37
"Cozz, Kendrick Lamar",Effected,4J56uEZtgVjuTi27Rvclag,Hustla’s Story (feat. Kendrick Lamar),50
Cozz,Effected,1SZmgaHtfiXiolLRwsQQbK,Ignorant Confidence,36
Cozz,Effected,7d1DUolt8BNEBoe0DrpyWd,Demons N Distractions,33
Cozz,Effected,0ctfy5bxmgrCTKRuAQQs3T,Freaky 45,38
Cozz,Effected,5gxsl39CCgEAr85mz0eU3L,Proof,30
"Cozz, Curren$y",Effected,2PGWwZuMMhkhetYpX2TVnw,Badu (feat. Curren$y),34
"Cozz, Garren",Effected,3JPUuGO6UyaQ5XCAOLFjDG,Bout It (feat. Garren),39
Cozz,Effected,2Pv5xFu2m6JA58i6BiZZRx,VanNess,31
Cozz,Effected,1ryJec5ccBWUKyD1FLggzI,Effected,36
Cozz,Effected,0MP61eDO4Y5q9bbZtSgAdv,My Love,30
Cozz,Effected,7cKirvNzTHUdu2Q6IQNQLX,That’s The Thing,30
"Cozz, J. Cole",Effected,7jmTA4qUoE3powcTpw3dvF,Zendaya (feat. J. Cole),61
Cozz,Effected,43DU2GT0RZcYQC090D8BIT,Not A Minute More,33
Cozz,My Side,21tJ4thSYrGW5FGqSIatA6,My Side,27
"Craig Mack, Erick Sermon",Dont Worry Mack Tonite,225KCcwnln4RSyvWzE08Zx,Don't Worry MackTonite - prod. Erick Sermon,14
Craig Mack,Flava In Ya Ear Remix,7fcTciTYcKnwrSnbzD5MkR,Flava in Ya Ear - Club Mix,23
Craig Mack,Flava In Ya Ear Remix,4JYUDRtPZuVNi7FAnbHyux,"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",56
Craig Mack,Flava In Ya Ear Remix,4NL3nnjVaXQm43yFR0Z2sf,Flava in Ya Ear - Easy Mo Mix,17
Craig Mack,Get Down (Remix),4HEoe555uqPiPRkCyhwlSe,Get Down - Q-Tip Remix,37
Craig Mack,Get Down (Remix),1KE3SpyzNWToZ0TeZoZ5Xp,Get Down - Instrumental,16
Craig Mack,Operation: Get Down,7j5dXEuWjb7cnnQvWhfw1u,Can You Still Love Me,15
Craig Mack,Operation: Get Down,0112z7t8mxnSqOTYXB6JHa,What I Need,18
Craig Mack,Operation: Get Down,12QJr8aVTIpzAEvQaBIOC9,Jockin' My Style,29
Craig Mack,Operation: Get Down,41dtTtgcD0EOnWSkrpOLAJ,Rap Hangover,14
Craig Mack,Operation: Get Down,78JM8h88f8wwzv9WwTSbz5,Sit Back & Relax,13
Craig Mack,Operation: Get Down,1T8Qcl9NYcbIQ4CUYfnzGO,Do You See,11
