artist_name,album_title,release_date,locale,record_company
Too $hort,Born To Mack,7/20/87,"Oakland, CA","Dangerous Music, RCA"
Ice T,Rhyme Pays,11/4/87,"Los Angeles, CA","Sire, Warner Bros. Records"
Too $hort,Life Is... Too Short,1/31/89,"Oakland, CA",Jive
N.W.A.,Straight Outta Compton,8/8/88,"Compton, CA","Ruthless, Priority"
415,41Fivin,1988,"Oakland, CA",Big League Records
Eazy-E,Eazy Duz It,9/13/88,"Compton, CA","Ruthless, Priority"
King Tee,Act A Fool,11/15/88,"Compton, CA",Capitol
Ice T,The Iceberg,10/10/89,"Los Angeles, CA","Sire, Warner Bros. Records"
The D.O.C.,No One Can Do It Better,8/1/89,"Los Angeles, CA","Ruthless, Atco, Atlantic"
Digital Underground,Sex Packets,3/26/90,"Oakland, CA","Tommy Boy Music, TNT Records"
MC Hammer,Please Hammer Don't Hurt 'Em,2/12/90,"Oakland, CA","Capitol Records, EMI"
Paris,The Devil Made Me Do It,10/9/90,"San Francisco, CA",Tommy Boy Music
Ice Cube,Amerikkka's Most Wanted,5/13/90,"Los Angeles, CA",Priority
Above The Law,Livin Like Hustlas,2/22/90,"Pomona, CA","Ruthless, Epic"
Ice Cube,Death Certificate,10/29/91,"Los Angeles, CA","Priority, EMI"
Ice T,Original Gangsta,5/14/91,"Los Angeles, CA","Sire, Warner Bros. Records"
DJ Quik,Quik Is The Name,1/15/91,"Compton, CA",Profile
X-Raided,Psycho Active,4/16/91,"Sacramento, CA",Black Market Records
N.W.A.,Niggaz 4 Life,5/28/91,"Compton, CA","Ruthless, Priority"
RBL Posse,A Lesson To Be Learned,9/16/92,"San Francisco, CA",In-A-Minute Records
Dr. Dre,The Chronic,12/15/92,"Compton, CA","Death Row, Interscope, Priority"
Ice Cube,The Predator,11/17/92,"Los Angeles, CA","Priority, EMI"
The Pharcyde,Bizarre Ride II the Pharcyde,11/24/92,"Los Angeles, CA",Delicious Vinyl
Too $hort,Shorty The Pimp,7/14/92,"Oakland, CA","Dangerous Music, Jive"
Cypress Hill,Black Sunday,6/20/93,"South Gate, CA","Ruffhouse, Columbia"
The Alkoholiks,21 & Over,8/24/93,"Los Angeles, CA","Loud, RCA"
Souls of Mischief,93' Til Infinity,9/6/93,"Oakland, CA","Jive, BMG Records"
Spice 1,187 He Wrote,9/28/93,"Hayward, CA",Jive
