Artist,Album
21 Savage, Without Warning
21 Savage, Savage Mode
2Pac , All Eyez On Me
50 Cent , Get Rich Or Die Tryin'
A Tribe Called Quest , Low End Theory
A Tribe Called Quest , Midnight Marauders
A Tribe Called Quest , We Got It From Here... Thank You 4 Your Service
A$AP Ferg , Trap Lord
A$AP Mob ," Cozy Tapes, Vol 1"
A$AP Rocky , At Long Last ASAP
A$AP Rocky , Live.Love.A$AP
A$AP Rocky , Long.Live.A$AP
A$AP Rocky , Testing
Ab-Soul, Control System
Anderson. Paak , Malibu
Big K.R.I.T. , 4eva is a Mighty Long Time
Big K.R.I.T. , Return Of 4Eva
Black Star , Mos Def & Talib Kweli Are Black Star
Brockhampton , iridescence
Brockhampton , Saturation
Brockhampton , Saturation II
Brockhampton , Saturation III
Bryson Tiller , T R A P S O U L
Chance The Rapper , 10 Day
Chance The Rapper , Acid Rap
Chance The Rapper , Coloring Book
Chief Keef , Finally Rich
Childish Gambino , Because The Internet
Clipse , Hell Hath No Fury
Clipse , Lord Willin'
Common , Be
Danny Brown , Atrocity Exhibition
Danny Brown , Old
Danny Brown , XXX
Death Grips , Exmilitary
Death Grips , No Love Deep Web
Death Grips , The Money Store
Denzel Curry ,13
Denzel Curry , Imperial
Denzel Curry , Nostalgia 64
Denzel Curry , TA13OO
Dr. Dre , The Chronic
Dr. Dre , The Chronic 2001
Drake , If You're Reading This It's Too Late
Drake , More Life
Drake , Nothing Was The Same
Drake , Scorpion
Drake , So Far Gone
Drake , Take Care
Drake , Views
Drake, What a Time to Be Alive
Earl Sweatshirt , Doris
Earl Sweatshirt , EARL
Earl Sweatshirt ," I Don't Like Shit, I Don't Go Outside"
Eminem , Kamikaze
Eminem , Relapse
Eminem , The Eminem Show
Eminem , The Marshall Mathers LP
Eminem , The Slim Shady LP
Frank Ocean , Blonde
Frank Ocean , Channel Orange
Frank Ocean , Endless
Frank Ocean ," Nostalgia, Ultra"
Freddie Gibbs, Pinata
Future , What a Time to Be Alive
Future , 56 Nights
Future , DS2
Future , Monster
Ghostface Killah , Supreme Clientele
GZA , Liquid Swords
Isaiah Rashad , Cilvia Demo
Isaiah Rashad , The Sun's Tirade
J Dilla , Donuts
J. Cole , 2014 Forest Hill Drive
J. Cole , Friday Night Lights
J.I.D. , The Never Story
Jay Rock ,90059
Joey Bada$$ ,1999
Joey Bada$$ , All-Amerikkkan Bada$$
Joey Bada$$ , B4.Da.$$
JPEGMAFIA , Veteran
Kanye West , 808 & Heartbreaks
Kanye West , Graduation
Kanye West , Late Registration
Kanye West , My Beautiful Dark Twisted Fantasy
Kanye West , The College Dropout
Kanye West , The Life of Pablo
Kanye West , ye
Kanye West , Yeezus
Kendrick Lamar , DAMN.
Kendrick Lamar , Good Kid Maad City
Kendrick Lamar , Overly Dedicated
Kendrick Lamar , Section.80
Kendrick Lamar , To Pimp A Butterfly
Kendrick Lamar , Untitled Unmastered
Kid Cudi , A KiD Named CuDi
Kid Cudi , Indicud
Kid Cudi , Man On The Moon II
Kid Cudi , Man On The Moon: The End Of Day
Kid Cudi , Passion Pain & Demon Slaying
Kids See Ghosts , Kids See Ghosts
Killer Mike , R.A.P. Music
Lil Pump , Lil Pump
Lil Ugly Mane , Mista Thug Isolation
Lil Uzi Vert , Lil Uzi Vert vs. the World
Lil Uzi Vert , Luv is Rage
Lil Uzi Vert , Luv Is Rage 2
Lil Wayne , Da Drought 3
Lil Wayne , Dedication 6
Lil Wayne , No Ceilings
Lil Wayne , Tha Carter II
Lil Wayne , Tha Carter III
Lil Wayne , Tha Carter V
Lil Yachty , Lil Boat
Lupe Fiasco , Drogas Wave
Lupe Fiasco , Food & Liquor
Lupe Fiasco , Testuo & Youth
Lupe Fiasco , The Cool
Mac Miller , Faces
Mac Miller , GOOD:AM
